DateTime,AddedIPs,RemovedIPs
1606488189,1,0
1606489745,0,1
1606491276,0,1
1606493365,1,0
1606498480,0,1
1606504083,0,3
1606506544,0,1
1606509293,0,1
1606510774,2,0
1606512874,1,1
1606515939,1,0
1606523141,2,0
1606524630,0,2
1606526741,0,1
1606527280,3,1
1606530882,2,2
1606539575,0,1
1606541007,1,1
1606545279,0,1
1606548336,1,1
1606549836,3,0
1606552486,1,46
1606555535,1,0
1606557052,2,1
1606558726,1,1
1606562238,4,0
1606563277,1,1
1606564546,1,0
1606570475,0,1
1606571769,1,0
1606574080,1,0
1606575576,1,2
1606576738,16,0
1606578638,1,4
1606580235,1,1
1606581276,1,2
1606585853,1,0
1606587045,1,0
1606588475,0,1
1606592022,1,1
1606593563,1,2
1606595136,1,0
1606595682,1,1
1606599286,5,0
1606602891,0,1
1606604367,1,0
1606608123,2,0
1606610851,2,1
1606611958,0,1
1606613133,0,1
1606614639,1,0
1606616153,0,3
1606623941,0,1
1606625448,0,1
1606633953,4,1
1606637038,0,1
1606638876,0,1
1606642481,0,3
1606645533,1,2
1606647026,0,2
1606649689,1,0
1606651490,2,0
1606655769,1,0
1606658845,0,1
1606663335,2,1
1606725289,16,22
1606727208,0,1
1606728889,0,1
1606731370,0,2
1606732495,1,3
1606734633,1,1
1606739683,0,1
1606741888,0,1
1606743245,1,0
1606746002,0,4
1606746886,0,15
1606751442,0,1
1606756587,0,1
1606757674,0,1
1606760763,1,0
1606763195,0,1
1606764880,0,2
1606766046,1,0
1606768486,0,4
1606773543,0,1
1606778750,0,2
1606780584,4,0
1606781797,0,1
1606782883,0,1
1606791042,1,0
1606792232,1,0
1606800342,13,0
1606804479,2,3
1606808077,1,0
1606809222,1,0
1606810560,1,0
1606815287,0,1
1606817323,2,1
1606818888,0,1
1606820819,0,1
1606822480,2,0
1606824844,0,1
1606826084,1,0
1606830637,0,1
1606833290,0,2
1606837837,0,1
1606843539,0,1
1606845578,1,1
1606847140,1,0
1606848380,1,0
1606853673,0,1
1606854876,2,0
1606858475,1,1
1606861411,0,1
1606862075,0,3
1606863570,1,1
1606865680,2,2
1606869275,2,3
1606874923,1,0
1606883679,2,0
1606886568,0,1
1606890882,1,1
1606898097,3,0
1606899301,1,0
1606902650,0,1
1606905296,2,1
1606907929,1,0
1606912476,1,1
1606916597,2,1
1606922559,0,1
1606925252,1,0
1606926877,2,0
1606929199,1,0
1606933537,3,0
1606934076,0,1
1606935884,0,1
1606937678,1,0
1606944893,2,0
1606950356,0,4
1606955678,2,0
1606958739,1,0
1606962884,0,2
1606969540,0,4
1606971048,0,9
1606974642,0,1
1606978239,0,1
1606980883,0,1
1606984483,5,0
1606987547,0,1
1606988092,0,1
1606990090,1,0
1606991689,0,1
1607000174,1,0
1607001943,1,0
1607006689,0,1
1607009135,1,0
1607010557,0,2
1607012733,2,0
1607015693,3,1
1607018019,0,1
1607019936,1,0
1607025036,0,3
1607027675,1,0
1607033693,0,1
1607034878,1,0
1607036337,0,3
1607037945,1,0
1607043703,0,3
1607052874,0,2
1607058241,1,0
1607060079,1,0
1607062234,1,2
1607065521,0,2
1607066744,1,0
1607068241,0,2
1607070878,1,0
1607072179,1,0
1607074478,0,2
1607076565,2,1
1607081689,0,1
1607085687,1,2
1607087271,2,0
1607088875,1,0
1607094208,0,1
1607096075,1,2
1607099137,1,1
1607099677,1,0
1607103275,0,3
1607106346,1,0
1607107615,0,1
1607111637,1,0
1607114076,1,0
1607116257,0,2
1607118430,4,0
1607123204,1,0
1607124875,0,1
1607127251,1,0
1607128472,1,1
1607143733,1,0
1607153671,0,4
1607156496,1,1
1607160877,1,1
1607162785,2,0
1607171132,0,1
1607171677,0,1
1607175274,1,0
1607178879,1,0
1607181557,0,1
1607182478,1,1
1607183580,2,0
1607185351,0,2
1607186075,0,1
1607189675,1,1
1607194400,3,0
1607196877,1,1
1607205811,1,0
1607207676,0,2
1607210477,1,0
1607211283,1,0
1607214336,2,0
1607215837,1,0
1607222074,2,0
1607227952,3,1
1607229606,0,1
1607232881,0,1
1607241040,1,0
1607243677,1,1
1607245461,1,1
1607247278,2,0
1607250874,0,1
1607257535,0,2
1607265275,1,1
1607268869,0,2
1607274157,2,0
1607276852,0,2
1607284238,0,1
1607286876,1,3
1607290480,1,1
1607293540,0,1
1607296171,1,0
1607298642,1,2
1607304877,1,0
1607308482,1,0
1607312074,0,2
1607319284,1,0
1607322876,1,0
1607325576,0,1
1607330502,0,1
1607333138,1,0
1607335388,1,0
1607337279,1,0
1607338787,17,1
1607340878,2,0
1607343937,1,0
1607345445,0,1
1607346986,3,0
1607348073,1,1
1607350232,1,0
1607354024,0,2
1607356656,3,1
1607358880,1,1
1607364288,0,2
1607366073,1,1
1607369674,1,0
1607373278,2,0
1607376338,1,1
1607382575,1,4
1607383884,0,1
1607385037,1,1
1607391283,3,2
1607394338,4,0
1607397943,0,2
1607399442,0,1
1607402078,1,0
1607405144,1,4
1607411066,0,1
1607412878,1,1
1607417182,4,1
1607420080,3,1
1607423676,6,1
1607424810,1,0
1607430880,1,0
1607437333,1,0
1607439038,1,0
1607441672,0,2
1607443380,3,1
1607447350,1,0
1607448536,1,0
1607451052,1,0
1607456780,0,1
1607459675,0,1
1607461432,1,0
1607464480,1,1
1607466872,1,0
1607469299,2,2
1607472210,0,1
1607475528,3,0
1607477136,1,0
1607478643,0,1
1607482642,1,0
1607484345,2,0
1607489444,2,1
1607492090,0,1
1607502878,1,1
1607506473,1,1
1607508287,2,3
1607510083,0,1
1607511959,2,0
1607513670,0,1
1607514846,1,0
1607517277,2,2
1607520877,0,2
1607523466,4,0
1607526539,2,1
1607528085,1,17
1607529798,1,1
1607532639,1,0
1607536058,0,1
1607537196,0,1
1607538877,1,0
1607540126,0,2
1607541935,1,1
1607543285,2,0
1607545541,1,0
1607554771,0,1
1607556065,1,1
1607559938,3,2
1607562954,1,1
1607564080,0,4
1607568665,9,0
1607576822,1,0
1607577946,1,0
1607583042,1,1
1607585677,1,0
1607587186,1,1
1607590531,0,2
1607592344,1,0
1607593994,1,0
1607595261,3,0
1607596479,1,0
1607600072,2,0
1607601522,1,0
1607607272,1,0
1607608427,0,1
1607610337,2,0
1607612802,1,0
1607614477,1,1
1607615690,0,1
1607619040,0,1
1607624304,1,0
1607627856,17,0
1607634921,0,1
1607636489,1,1
1607639145,2,0
1607643276,1,0
1607644668,0,3
1607646357,0,1
1607646876,0,1
1607649233,1,0
1607651441,0,1
1607652692,0,1
1607654569,1,0
1607658643,2,0
1607664878,12,0
1607667934,1,0
1607671354,1,2
1607679273,1,2
1607681063,0,3
1607682873,1,1
1607685313,1,1
1607692805,1,0
1607695556,1,1
1607698241,0,1
1607702710,2,0
1607704491,1,0
1607705862,2,0
1607708655,1,0
1607709832,1,0
1607711674,1,1
1607715276,2,1
1607718887,2,1
1607729686,7,3
1607731779,0,1
1607733273,2,0
1607767839,24,55
1607769280,3,0
1607772873,0,2
1607774018,0,1
1607776479,0,1
1607780076,0,2
1607785139,1,0
1607787275,0,2
1607790877,6,0
1607794476,1,2
1607798082,0,17
1607801136,2,0
1607803700,3,0
1607807883,2,3
1607812480,3,2
1607816080,1,0
1607819686,1,0
1607823278,1,2
1607825334,1,0
1607828388,0,2
1607838647,1,1
1607841274,3,0
1607845413,0,2
1607847022,4,1
1607850246,2,0
1607852062,0,1
1607853694,1,0
1607855681,0,1
1607856913,1,0
1607859277,1,0
1607864204,1,0
1607865380,0,1
1607868532,0,1
1607871419,1,0
1607873680,0,16
1607876738,0,1
1607879385,0,1
1607880887,1,0
1607882813,1,0
1607884472,0,2
1607886723,2,0
1607888072,0,2
1607895284,4,1
1607898344,0,1
1607899568,0,6
1607901166,2,0
1607902484,0,2
1607906076,0,2
1607909139,1,12
1607914066,0,2
1607920494,0,2
1607923155,1,0
1607925449,2,0
1607927677,0,1
1607929639,0,3
1607938475,1,3
1607940405,1,1
1607944096,1,0
1607947698,1,0
1607955938,0,1
1607960079,0,2
1607961321,1,4
1607963141,0,1
1607963671,0,1
1607966078,4,0
1607968604,1,0
1607970345,0,1
1607970880,0,2
1607972202,0,2
1607973506,0,1
1607977530,3,0
1607979042,1,2
1607981677,1,2
1607984743,0,1
1607986236,0,1
1607989828,0,1
1607991253,0,1
1607993979,1,0
1607995546,1,0
1607997041,0,1
1608006883,1,0
1608008856,1,2
1608010485,1,1
1608016200,1,3
1608017675,1,1
1608018891,2,0
1608023346,2,0
1608024875,0,1
1608026195,0,1
1608027789,4,0
1608030833,1,1
1608033025,8,0
1608034346,8,1
1608042880,1,1
1608046520,0,2
1608050077,2,0
1608052481,0,1
1608057920,1,2
1608060881,3,0
1608064477,0,3
1608065767,0,1
1608070261,1,0
1608071672,0,2
1608078343,1,0
1608079841,0,1
1608081645,1,0
1608083450,1,0
1608093290,1,1
1608096161,0,2
1608097834,2,0
1608101116,1,0
1608105396,2,0
1608107676,0,1
1608109643,1,0
1608110988,1,0
1608112224,1,0
