DateTime,Entries,UniqueIPs
1607219446,2344,2344
1607222084,2357,2357
1607225006,2379,2379
1607225685,2369,2369
1607227958,2390,2390
1607229613,2388,2388
1607231607,2395,2395
1607232889,2398,2398
1607235335,2396,2396
1607236480,2383,2383
1607239485,2426,2426
1607241047,2401,2401
1607243683,2408,2408
1607245474,2412,2412
1607247285,2452,2452
1607249794,2522,2522
1607250881,2542,2542
1607253003,2529,2529
1607254477,2578,2578
1607255818,2616,2616
1607257541,2639,2639
1607258081,2631,2631
1607259949,2623,2623
1607261682,2635,2635
1607264177,2656,2656
1607265281,2667,2667
1607266553,2671,2671
1607268347,2674,2674
1607268876,2671,2671
1607270375,2670,2670
1607271942,2685,2685
1607274174,2671,2671
1607275544,2684,2684
1607276864,2671,2671
1607278733,2674,2674
1607279685,2671,2671
1607281593,2681,2681
1607282741,2708,2708
1607284245,2715,2715
1607285788,2781,2781
1607286883,2881,2881
1607290487,3056,3056
1607293548,3065,3065
1607294084,3060,3060
1607296179,3078,3078
1607297322,3087,3087
1607298649,3086,3086
1607300749,3091,3091
1607301283,3086,3086
1607304884,3090,3090
1607306639,3095,3095
1607308492,3103,3103
1607310956,3107,3107
1607312081,3050,3050
1607313406,3026,3026
1607315152,2918,2918
1607315682,2914,2914
1607319294,2917,2917
1607322883,2918,2918
1607325582,2925,2925
1607326485,2928,2928
1607328604,2960,2960
1607330508,2975,2975
1607333146,3005,3005
1607333715,2974,2974
1607335398,2975,2975
1607337286,2975,2975
1607340886,2970,2970
1607342121,2983,2983
1607343944,2995,2995
1607345452,2980,2980
1607346998,2985,2985
1607348080,2979,2979
1607350240,2988,2988
1607351681,2995,2995
1607354032,3008,3008
1607355289,3006,3006
1607356673,3011,3011
1607358342,3015,3015
1607358887,3001,3001
1607362484,3017,3017
1607364323,3016,3016
1607366082,3015,3015
1607367217,3023,3023
1607368918,3150,3150
1607369681,3152,3152
1607373286,3267,3267
1607374493,3272,3272
1607376347,3398,3398
1607376881,3408,3408
1607379400,3544,3544
1607382581,3522,3522
1607383905,3511,3511
1607385045,3515,3515
1607386418,3525,3525
1607387684,3524,3524
1607391292,3524,3524
1607392673,3519,3519
1607394344,3513,3513
1607394887,3503,3503
1607397951,3510,3510
1607399451,3499,3499
1607402085,3491,3491
1607405154,3490,3490
1607406509,3466,3466
1607409281,3469,3469
1607411077,3509,3509
1607412886,3492,3492
1607415942,3494,3494
1607417188,3460,3460
1607420089,3416,3416
1607423682,3347,3347
1607424817,3342,3342
1607427281,3298,3298
1607430887,3280,3280
1607432654,3266,3266
1607434487,3258,3258
1607437345,3266,3266
1607439045,3265,3265
1607440668,3265,3265
1607441679,3258,3258
1607443394,3248,3248
1607445288,3248,3248
1607447357,3243,3243
1607448543,3258,3258
1607451060,3271,3271
1607452484,3264,3264
1607455546,3269,3269
1607456796,3105,3105
1607457899,2971,2971
1607459683,2966,2966
1607461458,2956,2956
1607463282,2949,2949
1607464488,2953,2953
1607465734,2951,2951
1607466879,2934,2934
1607468093,2937,2937
1607469313,2929,2929
1607470818,2909,2909
1607472230,2909,2909
1607474084,2909,2909
1607475543,2907,2907
1607477143,2913,2913
1607478650,2912,2912
1607480181,2919,2919
1607481282,2921,2921
1607482649,2918,2918
1607484354,2924,2924
1607484894,2913,2913
1607487707,2914,2914
1607489450,2910,2910
1607492100,2899,2899
1607495143,2911,2911
1607496642,2898,2898
1607498078,2883,2883
1607499283,2882,2882
1607502885,2860,2860
1607506480,2820,2820
1607508296,2796,2796
1607510090,2793,2793
1607511965,2775,2775
1607513677,2758,2758
1607514853,2759,2759
1607516340,2749,2749
1607517284,2729,2729
1607520884,2683,2683
1607523479,2685,2685
1607524485,2672,2672
1607526546,2670,2670
1607528092,2652,2652
1607529809,2640,2640
1607531152,2645,2645
1607532645,2624,2624
1607534746,2620,2620
1607536064,2607,2607
1607537203,2607,2607
1607538883,2521,2521
1607540139,2498,2498
1607541942,2396,2396
1607543298,2374,2374
1607545547,2388,2388
1607546991,2324,2324
1607548172,2148,2148
1607549682,2301,2301
1607552173,2449,2449
1607553282,2437,2437
1607554778,2433,2433
1607556082,2440,2440
1607556889,2429,2429
1607559946,2450,2450
1607562962,2447,2447
1607564088,2452,2452
1607565434,2460,2460
1607567154,2462,2462
1607568678,2447,2447
1607571289,2420,2420
1607574885,2424,2424
1607576839,2433,2433
1607577953,2443,2443
1607578485,2426,2426
1607581129,2414,2414
1607583049,2418,2418
1607585684,2431,2431
1607587194,2435,2435
1607588744,2456,2456
1607589288,2443,2443
1607590538,2452,2452
1607592350,2467,2467
1607592883,2451,2451
1607594003,2457,2457
1607595268,2458,2458
1607596487,2447,2447
1607600078,2437,2437
1607601528,2435,2435
1607603144,2443,2443
1607603679,2432,2432
1607607279,2407,2407
1607608433,2416,2416
1607610349,2415,2415
1607610881,2396,2396
1607612808,2386,2386
1607614484,2382,2382
1607615696,2385,2385
1607617286,2390,2390
1607619046,2382,2382
1607620170,2366,2366
1607621640,2361,2361
1607622832,2359,2359
1607624311,2341,2341
1607625283,2333,2333
1607626485,2332,2332
1607627862,2332,2332
1607628883,2334,2334
1607630188,2347,2347
1607632490,2352,2352
1607634940,2368,2368
1607636495,2367,2367
1607639151,2372,2372
1607639680,2365,2365
1607640797,2369,2369
1607642083,2377,2377
1607643285,2378,2378
1607644675,2379,2379
1607646368,2384,2384
1607646882,2376,2376
1607649240,2374,2374
1607651449,2370,2370
1607652701,2372,2372
1607654578,2356,2356
1607655739,2356,2356
1607657029,2360,2360
1607658650,2349,2349
1607660264,2344,2344
1607661298,2334,2334
1607664887,2327,2327
1607666389,2330,2330
1607667940,2350,2350
1607671363,2357,2357
1607672084,2356,2356
1607673742,2357,2357
1607675684,2375,2375
1607679281,2402,2402
1607681070,2408,2408
1607682880,2427,2427
1607685331,2444,2444
1607686485,2442,2442
1607687629,2453,2453
1607688896,2454,2454
1607690088,2453,2453
1607692813,2472,2472
1607693686,2460,2460
1607695563,2454,2454
1607696745,2463,2463
1607698247,2452,2452
1607700037,2455,2455
1607701331,2454,2454
1607702725,2478,2478
1607704498,2536,2536
1607705869,2565,2565
1607707549,2584,2584
1607708662,2587,2587
1607709855,2598,2598
1607711026,2614,2614
1607711682,2609,2609
1607713730,2624,2624
1607715283,2617,2617
1607717964,2628,2628
1607718894,2613,2613
1607720145,2612,2612
1607721985,2446,2446
1607724509,2425,2425
1607726089,2426,2426
1607729695,2418,2418
1607731786,2413,2413
1607733281,2408,2408
1607767847,2299,2299
1607769289,2297,2297
1607772880,2304,2304
1607774025,2304,2304
1607775797,2297,2297
1607776486,2289,2289
1607778477,2277,2277
1607780082,2270,2270
1607782041,2259,2259
1607783685,2254,2254
1607785151,2231,2231
1607786747,2238,2238
1607787283,2226,2226
1607790884,2206,2206
1607794484,2196,2196
1607795963,2196,2196
1607797550,2202,2202
1607798089,2180,2180
1607799320,2183,2183
1607801144,2179,2179
1607803706,2156,2156
1607805286,2254,2254
1607807900,2316,2316
1607808886,2292,2292
1607812487,2282,2282
1607814572,2282,2282
1607816087,2269,2269
1607817872,2267,2267
1607819695,2259,2259
1607823287,2252,2252
1607825349,2243,2243
1607826888,2241,2241
1607828394,2239,2239
1607829927,2248,2248
1607831459,2239,2239
1607834099,2223,2223
1607837156,2219,2219
1607838656,2203,2203
1607841281,2181,2181
1607843540,2172,2172
1607845419,2158,2158
1607847028,2158,2158
1607848482,2141,2141
1607850263,2117,2117
1607852068,2100,2100
1607853709,2080,2080
1607855688,2091,2091
1607856921,2119,2119
1607859284,2128,2128
1607859883,2124,2124
1607861079,2117,2117
1607862891,2108,2108
1607864211,2106,2106
1607865393,2093,2093
1607866479,2081,2081
1607868539,2081,2081
1607870080,2069,2069
1607871426,2073,2073
1607873142,2069,2069
1607873689,2015,2015
1607874969,1993,1993
1607876744,1984,1984
1607877282,1957,1957
1607879392,1950,1950
1607880893,1943,1943
1607882820,1941,1941
1607884479,1932,1932
1607886738,1927,1927
1607888080,1929,1929
1607889200,1937,1937
1607890495,1904,1904
1607895293,1862,1862
1607896984,1843,1843
1607898350,1852,1852
1607899580,1835,1835
1607901173,1850,1850
1607902493,1871,1871
1607906084,1896,1896
1607909153,1907,1907
1607909687,1899,1899
1607910827,1914,1914
1607912746,1929,1929
1607914073,1924,1924
1607916347,1948,1948
1607917677,1946,1946
1607920502,1959,1959
1607923164,1979,1979
1607924096,1987,1987
1607925456,2036,2036
1607927145,2067,2067
1607927684,2063,2063
1607929646,2079,2079
1607932248,2099,2099
1607933379,2117,2117
1607934885,2125,2125
1607938482,2149,2149
1607940411,2166,2166
1607941541,2183,2183
1607944106,2190,2190
1607945686,2198,2198
1607947711,2196,2196
1607949282,2208,2208
1607950397,2217,2217
1607952378,2225,2225
1607952882,2220,2220
1607954209,2228,2228
1607955944,2244,2244
1607956480,2241,2241
1607957645,2245,2245
1607958974,2249,2249
1607960086,2251,2251
1607961329,2254,2254
1607963148,2263,2263
1607963678,2258,2258
1607964888,2253,2253
1607966085,2248,2248
1607967283,2250,2250
1607968610,2252,2252
1607970351,2259,2259
1607970886,2259,2259
1607972214,2268,2268
1607973512,2267,2267
1607975445,2181,2181
1607977538,2139,2139
1607979049,2153,2153
1607981684,2149,2149
1607984750,2180,2180
1607986243,2177,2177
1607988352,2193,2193
1607989835,2203,2203
1607991272,2202,2202
1607992484,2198,2198
1607993985,2194,2194
1607995555,2201,2201
1607997048,2189,2189
1607999678,2186,2186
1608000900,2187,2187
1608003290,2196,2196
1608005371,2201,2201
1608006895,2206,2206
1608008863,2215,2215
1608010500,2244,2244
1608012757,2262,2262
1608014078,2277,2277
1608016217,2279,2279
1608017683,2287,2287
1608018898,2300,2300
1608021286,2306,2306
1608023358,2332,2332
1608024881,2401,2401
1608026202,2437,2437
1608027804,2437,2437
1608028484,2427,2427
1608030839,2419,2419
1608033031,2422,2422
1608034354,2426,2426
1608035996,2447,2447
1608037177,2464,2464
1608039286,2467,2467
1608040976,2466,2466
1608042888,2484,2484
1608044012,2490,2490
1608045359,2495,2495
1608046526,2485,2485
1608048349,2482,2482
1608050084,2491,2491
1608052487,2493,2493
1608053680,2486,2486
1608055837,2477,2477
1608057938,2457,2457
1608059287,2453,2453
1608060889,2448,2448
1608063224,2459,2459
1608064486,2453,2453
1608065776,2451,2451
1608067140,2509,2509
1608069046,2698,2698
1608070273,2754,2754
1608071680,2719,2719
1608072874,2715,2715
1608073974,2707,2707
1608075283,2695,2695
1608076429,2691,2691
1608078349,2686,2686
1608079848,2681,2681
1608081653,2676,2676
1608083458,2669,2669
1608085557,2651,2651
1608086817,2630,2630
1608088908,2615,2615
1608090417,2605,2605
1608093298,2582,2582
1608096169,2541,2541
1608097840,2528,2528
