DateTime,Entries,UniqueIPs
1607207674,1437,1437
1607210467,1443,1443
1607211281,1434,1434
1607214334,1452,1452
1607215834,1456,1456
1607217728,1462,1462
1607219435,1455,1455
1607222072,1452,1452
1607224988,1467,1467
1607225676,1465,1465
1607227950,1461,1461
1607229593,1460,1460
1607231589,1469,1469
1607232879,1472,1472
1607235315,1482,1482
1607236471,1482,1482
1607239477,1466,1466
1607241038,1462,1462
1607243675,1459,1459
1607245453,1458,1458
1607247275,1455,1455
1607249783,1465,1465
1607250872,1465,1465
1607252986,1456,1456
1607254469,1447,1447
1607255809,1456,1456
1607257532,1460,1460
1607258073,1453,1453
1607259942,1461,1461
1607261673,1471,1471
1607264162,1473,1473
1607265273,1465,1465
1607266544,1465,1465
1607268337,1477,1477
1607268867,1461,1461
1607270361,1442,1442
1607271932,1455,1455
1607274150,1432,1432
1607275536,1453,1453
1607276849,1445,1445
1607278723,1456,1456
1607279676,1460,1460
1607281582,1466,1466
1607282733,1475,1475
1607284235,1478,1478
1607285771,1447,1447
1607286874,1446,1446
1607290477,1460,1460
1607293538,1466,1466
1607294076,1464,1464
1607296169,1480,1480
1607297313,1488,1488
1607298638,1483,1483
1607300738,1498,1498
1607301273,1495,1495
1607304875,1521,1521
1607306607,1528,1528
1607308480,1524,1524
1607310938,1525,1525
1607312072,1523,1523
1607313396,1533,1533
1607315142,1542,1542
1607315671,1540,1540
1607319281,1557,1557
1607322874,1552,1552
1607325573,1558,1558
1607326470,1549,1549
1607328595,1541,1541
1607330500,1537,1537
1607333135,1554,1554
1607333705,1549,1549
1607335384,1558,1558
1607337277,1553,1553
1607338784,1563,1563
1607340876,1567,1567
1607342110,1573,1573
1607343935,1581,1581
1607345443,1586,1586
1607346984,1593,1593
1607348071,1591,1591
1607350229,1589,1589
1607351671,1588,1588
1607354022,1583,1583
1607355280,1563,1563
1607356654,1562,1562
1607358333,1558,1558
1607358878,1534,1534
1607362476,1520,1520
1607364284,1534,1534
1607366071,1555,1555
1607367207,1570,1570
1607368904,1536,1536
1607369671,1529,1529
1607373276,1528,1528
1607374483,1537,1537
1607376336,1522,1522
1607376872,1517,1517
1607379382,1533,1533
1607382573,1535,1535
1607383871,1531,1531
1607385035,1536,1536
1607386408,1533,1533
1607387675,1535,1535
1607391281,1513,1513
1607392663,1518,1518
1607394336,1507,1507
1607394876,1498,1498
1607397941,1508,1508
1607399438,1490,1490
1607402075,1465,1465
1607405141,1458,1458
1607406493,1441,1441
1607409269,1435,1435
1607411040,1414,1414
1607412876,1429,1429
1607415932,1424,1424
1607417173,1409,1409
1607420077,1402,1402
1607423674,1397,1397
1607424808,1402,1402
1607427271,1397,1397
1607430877,1381,1381
1607432638,1387,1387
1607434476,1386,1386
1607437325,1386,1386
1607439036,1366,1366
1607440652,1364,1364
1607441670,1355,1355
1607443355,1344,1344
1607445279,1330,1330
1607447340,1320,1320
1607448534,1325,1325
1607451049,1286,1286
1607452475,1273,1273
1607454060,1259,1259
1607455536,1262,1262
1607456771,1244,1244
1607457889,1238,1238
1607459672,1232,1232
1607461412,1236,1236
1607463273,1236,1236
1607464478,1236,1236
1607465721,1227,1227
1607466870,1215,1215
1607468076,1216,1216
1607469292,1196,1196
1607470806,1183,1183
1607472204,1185,1185
1607474073,1181,1181
1607475481,1182,1182
1607477133,1185,1185
1607478639,1183,1183
1607480168,1181,1181
1607481271,1178,1178
1607482637,1183,1183
1607484342,1187,1187
1607484880,1175,1175
1607487696,1175,1175
1607489441,1176,1176
1607492086,1185,1185
1607495133,1175,1175
1607496634,1170,1170
1607498066,1174,1174
1607499272,1159,1159
1607502875,1156,1156
1607506471,1379,1379
1607508274,1575,1575
1607510080,1753,1753
1607511957,1953,1953
1607513668,2098,2098
1607514838,2197,2197
1607516331,2319,2319
1607517275,2389,2389
1607520874,2630,2630
1607523462,2816,2816
1607524475,2878,2878
1607526536,2957,2957
1607528082,3022,3022
1607529787,3084,3084
1607531137,3164,3164
1607532637,3202,3202
1607534738,3268,3268
1607536049,3271,3271
1607537192,3309,3309
1607538875,3366,3366
1607540118,3406,3406
1607541933,3488,3488
1607543283,3545,3545
1607545539,3632,3632
1607546979,3687,3687
1607548151,3723,3723
1607549673,3753,3753
1607552153,3866,3866
1607553272,3933,3933
1607554760,4020,4020
1607556061,4088,4088
1607556878,4114,4114
1607559936,4205,4205
1607562950,4255,4255
1607564077,4276,4276
1607565420,4294,4294
1607568660,4317,4317
1607571281,4336,4336
1607574873,4369,4369
1607576820,4369,4369
1607577943,4378,4378
1607578473,4363,4363
1607581121,4375,4375
1607583038,4371,4371
1607585675,4351,4351
1607587182,4357,4357
1607588735,4361,4361
1607589279,4355,4355
1607590529,4352,4352
1607592342,4350,4350
1607592874,4350,4350
1607593987,4356,4356
1607595259,4351,4351
1607596477,4347,4347
1607600070,4354,4354
1607601482,4360,4360
1607603136,4381,4381
1607603669,4376,4376
1607607270,4410,4410
1607608425,4421,4421
1607610335,4443,4443
1607610872,4447,4447
1607612800,4465,4465
1607614475,4478,4478
1607615688,4491,4491
1607617273,4493,4493
1607619037,4491,4491
1607620155,4499,4499
1607621624,4495,4495
1607622822,4505,4505
1607624302,4545,4545
1607625275,4545,4545
1607626472,4574,4574
1607627851,4588,4588
1607628873,4589,4589
1607630171,4599,4599
1607632481,4575,4575
1607634912,4576,4576
1607636484,4570,4570
1607639143,4558,4558
1607639671,4536,4536
1607640783,4538,4538
1607642073,4553,4553
1607643273,4549,4549
1607644665,4556,4556
1607646354,4556,4556
1607646874,4544,4544
1607649231,4559,4559
