DateTime,AddedIPs,RemovedIPs
1607217710,54,46
1607219419,29,55
1607222057,37,47
1607224972,53,59
1607225657,13,56
1607227933,63,39
1607229532,32,50
1607231574,46,37
1607232863,21,32
1607234700,35,71
1607236457,36,145
1607239465,74,56
1607241020,34,68
1607243659,44,100
1607245444,35,61
1607247260,47,67
1607249765,62,53
1607250859,23,73
1607252963,71,111
1607254456,38,48
1607255796,36,24
1607257519,45,36
1607258059,13,44
1607259930,43,42
1607261660,38,55
1607264141,37,36
1607265257,10,55
1607266529,20,19
1607268322,71,36
1607268856,118,44
1607270349,278,46
1607271917,173,7
1607274117,159,139
1607275521,52,3
1607276826,64,96
1607278712,72,45
1607279658,99,44
1607281561,170,49
1607282716,100,2
1607284217,164,51
1607285754,97,30
1607286857,60,44
1607290462,186,87
1607293520,179,52
1607294056,34,34
1607296150,124,43
1607297294,65,4
1607298625,82,53
1607300721,94,39
1607301257,51,59
1607304324,183,37
1607304860,41,35
1607306582,74,38
1607308463,100,70
1607310914,123,46
1607312059,57,51
1607313374,83,14
1607315124,78,38
1607315658,22,46
1607319267,166,85
1607322861,347,99
1607325555,615,45
1607326456,264,32
1607328581,610,39
1607330486,471,49
1607333122,775,36
1607333686,148,34
1607335362,518,39
1607337261,462,40
1607338772,369,24
1607340863,71,53
1607342097,52,21
1607343923,56,38
1607345427,57,69
1607346970,64,64
1607348057,58,38
1607350207,93,42
1607351659,65,31
1607354009,107,37
1607355266,65,23
1607356642,71,17
1607358318,101,18
1607358862,22,28
1607362461,136,104
1607364250,65,49
1607366058,71,31
1607367188,58,16
1607368891,61,21
1607369655,35,27
1607373262,173,76
1607374471,53,21
1607376321,80,29
1607376859,29,26
1607379362,96,67
1607382552,151,84
1607383847,63,51
1607385021,52,25
1607386389,53,42
1607387661,47,42
1607391264,185,62
1607392649,61,19
1607394321,87,29
1607394863,40,27
1607397921,174,54
1607399420,92,56
1607402059,174,67
1607405124,179,47
1607406477,69,45
1607409257,134,77
1607411014,88,49
1607412859,109,31
1607415917,162,40
1607417149,63,65
1607420059,138,80
1607423658,148,110
1607424791,33,23
1607427257,81,98
1607430864,148,128
1607432595,52,31
1607434458,42,22
1607437306,78,30
1607439021,79,49
1607440635,151,53
1607441657,63,82
1607443327,110,54
1607445264,80,37
1607447328,87,37
1607448523,49,6
1607451037,167,106
1607452461,70,51
1607454001,87,46
1607455522,50,5
1607456754,46,79
1607457873,36,27
1607459659,63,34
1607461398,87,63
1607463258,74,56
1607464466,43,32
1607465701,61,37
1607466856,47,51
1607468056,49,17
1607469265,46,41
1607470791,47,93
1607472187,40,47
1607474059,64,55
1607475465,27,28
1607477119,59,31
1607478624,50,70
1607480135,43,51
1607481257,30,50
1607482619,38,28
1607484321,56,42
1607484863,14,44
1607487684,71,55
1607489423,38,77
1607492067,75,159
1607495118,86,315
1607496618,40,637
1607498048,30,344
1607499255,30,436
1607502860,107,1070
1607506457,100,1086
1607508260,49,490
1607510063,56,78
1607511944,56,82
1607513656,121,72
1607514824,291,49
1607516318,52,60
1607517258,74,96
1607520859,341,154
1607523440,75,105
1607524460,25,75
1607526524,83,103
1607528065,41,96
1607529765,61,70
1607531124,32,13
1607532623,54,103
1607534720,62,51
1607536028,28,71
1607537174,36,38
1607538860,47,73
1607540095,39,46
1607541918,46,67
1607543264,35,116
1607545524,48,72
1607546952,42,126
1607548126,42,77
1607549658,50,70
1607552137,83,116
1607553258,36,87
1607554748,53,78
1607556039,59,21
1607556858,40,60
1607559919,124,106
1607562935,95,214
1607564063,42,101
1607565405,43,43
1607568631,96,190
1607571261,87,247
1607574858,145,223
1607576805,58,115
1607577927,35,4
1607578459,16,104
1607581106,96,106
1607583023,60,141
1607585662,94,187
1607587161,46,98
1607588720,53,16
1607589260,18,87
1607590514,42,56
1607592326,62,74
1607592856,17,92
1607593973,45,38
1607595239,40,48
1607596460,36,78
1607600057,131,243
1607601467,51,35
1607603124,50,38
1607603657,19,43
1607607257,105,118
1607608412,37,24
1607610860,75,157
1607612700,36,82
1607614460,52,57
1607615676,26,28
1607617260,45,41
1607619020,56,94
1607620142,38,70
1607621609,38,66
1607622806,34,27
1607624281,37,49
1607625258,34,37
1607626450,47,17
1607627831,39,41
1607628857,35,56
1607630155,46,25
1607632462,75,103
1607634885,83,76
1607636471,47,70
1607639125,82,49
1607639656,7,83
1607640771,23,24
1607642055,25,40
1607643259,22,59
1607644652,33,17
1607646330,37,35
1607646859,13,60
1607649217,41,60
1607651421,48,80
1607652670,24,41
1607654553,38,64
1607655692,19,41
1607657000,28,3
1607658620,33,66
1607660199,30,41
1607661263,27,51
1607664861,69,120
1607666364,28,46
1607667917,20,5
1607671330,75,105
1607672057,8,87
1607673700,35,731
1607675657,105,735
1607679257,296,840
1607681017,174,118
1607682857,195,100
1607685296,213,320
1607686462,105,96
1607687608,83,103
1607688874,92,103
1607690061,90,120
1607692788,202,55
1607693662,64,43
1607695541,100,94
1607696719,77,9
1607698222,95,65
1607700008,98,47
1607701307,79,92
1607702676,66,42
1607704469,83,59
1607705847,66,23
1607707519,70,47
1607708640,59,72
1607709804,54,44
1607711657,95,52
1607713710,102,60
1607715259,76,65
1607717934,127,67
1607718860,52,58
1607720103,76,30
1607721924,96,42
1607724482,104,172
1607726060,73,94
1607729666,161,188
1607731761,100,80
1607733258,68,65
1607767194,996,1237
1607768721,46,13
1607769264,11,71
1607772856,94,129
1607774000,29,26
1607775774,36,54
1607776459,16,66
1607778451,64,62
1607780061,43,65
1607782010,27,56
1607783661,37,54
1607785076,33,31
1607786725,37,34
1607787260,12,51
1607790859,87,118
1607794460,83,108
1607795940,35,65
1607797519,26,23
1607798061,10,59
1607799292,38,26
1607801115,46,49
1607803675,59,133
1607805262,26,70
1607807855,57,84
1607808860,28,69
1607811920,86,61
1607812458,22,32
1607813994,46,48
1607815520,33,18
1607816063,12,42
1607817800,43,48
1607819665,86,42
1607823259,101,88
1607825307,39,40
1607826864,45,41
1607828372,44,41
1607831421,56,65
1607833433,28,31
1607834061,17,35
1607837126,66,61
1607838623,41,49
1607841257,62,77
1607844318,63,44
1607845628,24,37
1607846992,31,12
1607848458,39,25
1607850215,54,50
1607853596,82,114
1607855118,38,3
1607855661,41,31
1607856896,97,26
1607859258,69,68
1607859854,15,19
1607861042,28,25
1607862865,51,49
1607864189,72,30
1607865362,40,28
1607866457,27,33
1607868516,59,45
1607870057,33,48
1607871405,26,17
1607873119,86,25
1607873663,88,28
1607874940,216,20
1607876720,226,44
1607877260,70,37
1607879370,165,45
1607880868,75,40
1607883918,249,60
1607884457,47,38
1607886708,243,66
1607888057,111,37
1607889168,68,16
1607890459,80,39
1607895262,259,151
