DateTime,AddedIPs,RemovedIPs
1606764883,1,0
1606767364,4,0
1606772109,2,0
1606778754,0,1
1606780587,1,0
1606787833,1,0
1606789542,0,2
1606792238,49,0
1606794641,0,1
1606801853,3,0
1606804481,1,0
1606808080,0,2
1606815291,2,0
1606817325,1,0
1606820825,0,2
1606830639,4,0
1606833293,1,2
1606840481,3,3
1606841818,1,0
1606845582,0,1
1606847142,1,0
1606848385,0,2
1606849968,0,4
1606853676,0,1
1606854879,0,1
1606861414,0,1
1606865034,0,1
1606865683,0,5
1606869278,1,3
1606873475,0,3
1606874927,0,7
1606877678,1,0
1606883681,0,2
1606886571,1,2
1606888474,0,1
1606889760,0,1
1606892730,0,2
1606894498,0,1
1606898100,0,1
1606902657,0,3
1606905299,1,1
1606912478,1,1
1606916600,0,1
1606917863,0,1
1606919683,1,1
1606922561,0,3
1606929202,1,3
1606931850,1,0
1606933540,0,1
1606935887,0,1
1606937681,1,1
1606941278,0,1
1606942620,1,0
1606944345,1,0
1606944898,0,1
1606948479,0,1
1606952082,0,1
1606955681,0,2
1606958742,1,2
1606959279,0,1
1606960602,0,1
1606961705,0,2
1606962887,0,49
1606965944,1,2
1606967090,0,1
1606969542,0,1
1606973150,1,0
1606974644,0,3
1606976741,1,0
1606978242,1,0
1606980210,2,1
1606983454,2,0
1606984486,0,1
1606987550,1,1
1606991693,2,1
1606994706,0,2
1607001946,1,1
1607003446,0,1
1607005540,1,1
1607006692,1,1
1607009137,1,2
1607010559,0,1
1607012736,0,1
1607014238,0,1
1607015699,0,3
1607016883,0,2
1607018025,1,0
1607023540,0,1
1607025039,0,2
1607027678,1,2
1607030746,1,0
1607039684,2,0
1607041544,2,0
1607042084,0,1
1607043707,2,1
1607045683,0,2
1607048743,1,1
1607050513,0,1
1607056490,1,1
1607058255,0,1
1607060083,1,1
1607062236,0,1
1607063680,0,1
1607068244,2,1
1607070069,1,2
1607072181,0,1
1607078158,1,0
1607081691,0,2
1607084403,3,1
1607085692,1,2
1607087274,0,1
1607088878,5,0
1607091729,2,2
1607094212,0,3
1607096078,0,1
1607099140,3,0
1607099679,0,2
1607101789,1,0
1607105013,2,3
1607106349,3,0
1607107620,0,2
1607114078,0,1
1607116261,1,0
1607118433,0,1
1607119620,1,0
1607123206,1,0
1607124877,0,1
1607127256,0,2
1607128475,2,0
1607131543,1,0
1607133047,1,0
1607136643,0,2
1607141319,0,1
1607143735,1,0
1607149536,1,0
1607150074,0,1
1607152361,1,0
1607153673,0,1
1607156499,2,0
1607157298,1,1
1607159743,1,2
1607160880,0,1
1607168076,0,1
1607169420,1,1
1607171134,1,0
1607178882,0,1
1607181560,0,1
1607183583,1,0
1607185353,2,0
1607186077,0,2
1607191193,1,0
1607194404,1,0
1607195985,1,0
1607202360,1,0
1607204084,0,1
1607205817,0,1
1607210480,1,0
1607211286,0,1
1607214339,0,1
1607215840,0,2
1607225002,0,1
1607225681,0,2
1607227954,1,0
1607229609,0,1
1607235326,3,0
1607236476,0,1
1607239481,1,3
1607245469,1,0
1607249790,1,1
1607250877,0,1
1607252993,1,1
1607254473,0,2
1607255813,2,0
1607257537,0,2
1607259946,1,0
1607261678,0,1
1607264173,2,0
1607265277,0,2
1607266549,0,3
1607268343,1,1
1607268872,2,1
1607270372,11,0
1607271938,3,0
1607274163,3,1
1607276857,1,4
1607278729,1,0
1607279681,2,0
1607281590,6,1
1607282737,4,0
1607284241,2,0
1607285783,4,0
1607286879,1,0
1607293543,2,0
1607296174,3,0
1607297318,3,0
1607300743,1,0
1607301279,1,0
1607304880,2,2
1607306624,1,1
1607308485,0,8
1607310949,4,1
1607312077,1,0
1607313401,12,1
1607315676,1,1
1607319287,1,0
1607322879,1,0
1607325578,9,2
1607326480,6,0
1607328600,16,0
1607330504,3,0
1607333141,14,0
1607333711,2,0
1607335394,9,0
1607337281,18,1
1607338793,2,0
1607340881,3,0
1607346988,1,0
1607351677,0,1
1607355285,0,1
1607356659,2,0
1607358882,0,1
1607373282,1,0
1607379387,1,1
1607383891,0,2
1607391286,0,1
1607394882,0,1
1607397946,1,2
1607399446,0,1
1607402081,1,0
1607409274,2,0
1607412881,2,1
1607417185,0,1
1607420082,0,1
1607423678,1,1
1607424812,0,1
1607430882,1,1
1607434481,0,1
1607437341,1,0
1607439041,2,0
1607440656,2,2
1607441675,1,0
1607443386,4,0
1607445283,1,0
1607451055,5,2
1607455540,2,2
1607456783,0,1
1607459678,2,0
1607461438,2,0
1607463278,1,0
1607464483,1,1
1607465730,0,1
1607466875,1,0
1607470811,2,1
1607474079,3,0
1607477138,2,0
1607478645,1,0
1607481277,0,1
1607482645,0,1
1607484349,1,1
1607487702,1,0
1607492093,0,1
1607495138,3,6
1607496638,2,10
1607498074,0,9
1607499277,0,6
1607502881,0,14
1607506476,1,29
1607508290,1,4
1607510086,0,1
1607513673,1,0
1607517279,2,0
1607520880,2,3
1607526541,0,1
1607528088,0,1
1607532641,0,2
1607534742,0,1
1607540131,1,0
1607543290,0,1
1607545543,1,0
1607546987,0,2
1607553279,0,1
1607554774,1,1
1607556071,2,0
1607559941,1,0
1607562956,2,0
1607571286,1,0
1607574880,3,1
1607576829,0,1
1607581125,0,1
1607583045,3,3
1607585680,1,2
1607587190,1,1
1607589284,0,2
1607590533,0,1
1607592346,0,1
1607593999,1,1
1607596483,1,0
1607600074,0,2
1607601525,0,2
1607603141,1,0
1607607275,0,1
1607612804,0,2
1607615693,1,0
1607617278,2,0
1607620160,0,1
1607622828,1,0
1607624306,0,2
1607625279,1,1
1607626481,1,1
1607628878,1,2
1607632486,1,1
1607636491,0,1
1607639147,2,0
1607639676,0,1
1607640794,0,1
1607642079,0,2
1607643278,0,1
1607644670,0,1
1607646362,0,1
1607646878,0,1
1607649236,1,0
1607651445,2,0
1607652695,0,1
1607654572,0,1
1607664881,0,1
1607666382,0,2
1607671359,2,1
1607672080,1,0
1607673722,5,1
1607675680,5,1
1607679276,17,2
1607681065,1,2
1607682876,3,0
1607685322,1,0
1607686479,2,0
1607687625,1,3
1607688892,0,1
1607690083,1,1
1607692808,2,0
1607693682,0,1
1607695558,0,5
1607698243,1,1
1607701327,1,0
1607704494,1,1
1607707544,0,1
1607713727,0,1
1607715279,1,0
1607717960,1,0
1607718890,1,1
1607721963,1,0
1607724505,0,2
1607726085,0,3
1607729689,0,3
1607733275,0,1
1607767842,75,12
1607769284,0,2
1607772876,0,1
1607778470,0,1
1607780079,2,1
1607782029,0,1
1607783681,1,1
1607785144,0,3
1607790879,0,2
1607795958,0,1
1607797546,1,0
1607799314,2,0
1607801139,1,0
1607803702,1,2
1607805281,1,0
1607808881,0,1
1607812483,0,1
1607816083,0,1
1607817856,1,1
1607819689,1,0
1607823281,1,3
1607825339,1,0
1607826884,0,1
1607828390,1,0
1607831447,1,0
1607834093,0,1
1607837151,1,2
1607838651,3,0
1607841277,1,1
1607843522,0,5
1607845415,0,9
1607847024,1,5
1607848478,0,6
1607850250,1,1
1607853698,1,0
1607855683,1,0
1607856916,1,1
1607859280,1,2
1607859878,1,0
1607861073,1,1
1607862887,1,1
1607865386,0,1
1607873138,5,0
1607873683,1,1
1607874965,5,0
1607876741,5,0
1607877276,2,1
1607879388,1,0
1607882815,1,1
1607884474,2,0
1607886726,3,0
1607889195,2,0
1607890487,2,0
1607895288,3,1
1607896960,4,0
1607898346,2,0
1607901168,3,0
1607902488,1,0
1607906079,9,0
1607909143,4,1
1607909683,1,22
1607910823,0,8
1607912743,3,22
1607914068,1,14
1607916343,2,0
1607917666,3,0
1607920497,8,0
1607923160,13,0
1607925451,1,1
1607934881,0,1
1607938478,1,2
1607940407,1,0
1607941538,2,0
1607944098,0,3
1607945682,1,1
1607947700,0,4
1607952371,1,0
1607952877,2,0
1607954205,3,0
1607956476,1,0
1607958970,2,0
1607960082,1,0
1607961324,2,0
1607963674,0,1
1607964884,1,0
1607968607,1,0
1607970347,0,1
1607973508,0,2
1607975440,0,1
1607977533,0,3
1607981680,1,0
1607984745,2,0
1607995549,1,0
1607997044,0,2
1608006886,0,3
1608008858,0,4
1608010493,5,1
1608016203,1,1
1608017679,1,0
1608018894,1,0
1608021282,2,1
1608023352,1,1
1608024877,1,0
1608026198,0,1
1608027795,0,1
1608030836,3,0
1608033027,0,1
1608034350,1,1
1608035944,0,3
1608039282,3,0
1608040972,0,1
1608044008,2,1
1608046522,1,2
1608050080,2,1
1608053676,0,2
1608055833,1,1
1608059283,0,1
1608060885,0,1
1608063221,0,1
1608064480,0,2
1608067135,1,0
1608069042,1,1
1608070263,1,1
1608071674,0,1
1608072866,1,0
1608073968,0,1
1608075279,0,1
1608076425,0,1
1608078345,0,2
1608079844,2,1
1608081649,0,1
1608083453,9,0
1608085551,4,0
1608086813,3,1
1608088903,2,5
1608090402,1,4
1608093293,0,20
1608096165,1,3
1608097836,0,3
1608099784,0,1
1608101118,1,2
1608104079,5,3
1608107679,0,4
1608112227,2,0
1608113358,1,0
1608114889,1,2
