DateTime,AddedIPs,RemovedIPs
1607032856,17,9
1607034764,12,0
1607036669,19,9
1607038653,14,16
1607040503,11,9
1607042433,9,11
1607044371,25,4
1607048186,10,24
1607050131,9,9
1607052034,12,11
1607054901,14,5
1607057779,18,12
1607059720,13,1
1607061653,13,6
1607063557,9,12
1607071239,10,24
1607073152,10,5
1607075067,9,6
1607077006,13,8
1607078927,17,8
1607080856,13,5
1607082739,12,4
1607084716,12,4
1607087590,11,4
1607090464,6,10
1607092354,15,10
1607094280,8,12
1607096199,13,9
1607098343,13,0
1607100342,4,8
1607102187,9,9
1607104118,10,5
1607106075,16,9
1607107959,19,10
1607110856,12,6
1607112748,7,13
1607114691,12,9
1607118760,10,13
1607120694,9,8
1607122608,19,10
1607124512,5,0
1607126451,13,13
1607128384,10,7
1607130286,7,9
1607134126,8,9
1607137005,5,11
1607139884,11,10
1607141838,14,3
1607144669,13,12
1607146583,13,5
1607148550,8,6
1607150431,10,12
1607152350,10,8
1607154286,13,0
1607156184,12,14
1607158108,16,9
1607160045,14,7
1607161945,14,13
1607163877,16,4
1607165840,14,10
1607168682,14,22
1607170583,7,9
1607172501,3,10
1607176342,8,23
1607178258,11,8
1607181151,7,12
1607183121,5,7
1607185012,5,0
1607186941,8,10
1607188869,12,8
1607191006,10,23
1607192931,13,0
1607194871,19,11
1607196751,11,8
1607198668,11,15
1607201570,10,7
1607203507,9,14
1607205424,11,7
1607208261,8,9
1607210187,7,18
1607212129,10,17
1607214035,12,17
1607215940,9,6
1607217924,7,9
1607219784,9,0
1607222662,17,22
1607224586,17,12
1607226531,9,5
1607228432,9,14
1607230339,20,15
1607233226,13,16
1607235167,9,16
1607237082,8,6
1607238971,10,5
1607240927,14,0
1607242846,15,9
1607244735,9,0
1607246698,11,21
1607248864,11,14
1607250761,12,0
1607252686,13,11
1607254611,10,0
1607257464,15,17
1607259382,10,0
1607263277,14,25
1607268023,11,13
1607271878,9,12
1607276660,14,31
1607278606,11,16
1607280501,11,10
1607283390,5,16
1607285540,7,25
1607287482,7,8
1607289408,9,15
1607291332,6,11
1607293239,11,13
1607295162,10,8
1607297074,9,0
1607299995,8,19
1607301887,6,12
1607303777,6,6
1607305751,9,10
1607307634,7,9
1607309548,8,6
1607311538,7,10
1607313436,13,6
1607316282,14,7
1607318190,8,7
1607320134,14,11
1607322020,15,15
1607323990,14,11
1607325894,20,8
1607328777,6,15
1607330661,10,4
1607333556,15,15
1607335492,13,14
1607337416,10,11
1607339597,15,2
1607342440,15,12
1607345328,12,8
1607347277,18,8
1607349160,15,9
1607351113,17,11
1607353008,8,12
1607354909,6,10
1607356859,13,4
1607358733,10,0
1607360702,8,11
1607362620,14,6
1607364523,8,10
1607368370,13,17
1607371241,10,15
1607373169,14,12
1607376043,10,10
1607377964,12,8
1607379909,11,6
1607381811,15,14
1607385652,12,21
1607390460,22,17
1607393331,14,20
1607397203,18,6
1607399098,12,0
1607401031,8,13
1607403887,12,32
1607406773,12,6
1607408688,16,13
1607410601,21,7
1607412501,14,10
1607414519,9,13
1607416352,12,11
1607418281,18,13
1607420203,14,4
1607423092,8,9
1607425992,12,12
1607428846,14,15
1607430759,7,8
1607433634,8,13
1607435568,11,7
1607438443,7,28
