DateTime,Entries,UniqueIPs
1607032856,5420,5663
1607034764,5419,5659
1607036669,5434,5674
1607038653,5437,5677
1607040503,5441,5680
1607042433,5437,5676
1607044371,5444,5684
1607048186,5436,5677
1607050131,5430,5671
1607052034,5421,5661
1607054901,5419,5656
1607057779,5418,5657
1607059720,5418,5658
1607061653,5407,5647
1607063557,5406,5647
1607071239,5332,5570
1607073152,5341,5582
1607075067,5331,5571
1607077006,5328,5568
1607078927,5324,5564
1607080856,5326,5565
1607082739,5330,5569
1607084716,5328,5569
1607087590,5327,5569
1607090464,5293,5534
1607092354,5312,5555
1607094280,5311,5554
1607096199,5313,5556
1607098343,5319,5561
1607100342,5305,5545
1607102187,5314,5556
1607104118,5318,5562
1607106075,5326,5568
1607107959,5335,5578
1607110856,5326,5569
1607112748,5316,5561
1607114691,5311,5556
1607118760,5302,5550
1607120694,5298,5546
1607122608,5311,5561
1607124512,5307,5558
1607126451,5317,5568
1607128384,5320,5571
1607130286,5324,5573
1607134126,5319,5565
1607137005,5318,5565
1607139884,5305,5552
1607141838,5296,5541
1607144669,5290,5535
1607146583,5297,5543
1607148550,5295,5540
1607150431,5285,5528
1607152350,5282,5525
1607154286,5281,5524
1607156184,5283,5525
1607158108,5286,5530
1607160045,5290,5534
1607161945,5296,5541
1607163877,5298,5544
1607165840,5305,5550
1607168682,5311,5557
1607170583,5310,5557
1607172501,5298,5543
1607176342,5280,5518
1607178258,5280,5520
1607181151,5265,5502
1607183121,5263,5500
1607185012,5269,5507
1607186941,5265,5502
1607188869,5265,5502
1607191006,5271,5505
1607192931,5267,5503
1607194871,5273,5510
1607196751,5273,5511
1607198668,5285,5524
1607201570,5273,5512
1607203507,5266,5503
1607205424,5270,5506
1607208261,5271,5508
1607210187,5268,5507
1607212129,5258,5498
1607214035,5252,5491
1607215940,5247,5486
1607217924,5250,5489
1607219784,5251,5489
1607222662,5255,5494
1607224586,5254,5494
1607226531,5256,5495
1607228432,5257,5496
1607230339,5266,5506
1607233226,5269,5507
1607235167,5260,5499
1607237082,5259,5495
1607238971,5258,5495
1607240927,5256,5493
1607242846,5257,5496
1607244735,5257,5495
1607246698,5259,5497
1607248864,5259,5495
1607250761,5258,5493
1607252686,5258,5494
1607254611,5275,5512
1607257464,5282,5520
1607259382,5277,5518
1607263277,5280,5521
1607268023,5266,5508
1607271878,5264,5506
1607276660,5260,5500
1607278606,5266,5505
1607280501,5266,5506
1607283390,5239,5479
1607285540,5247,5489
1607287482,5255,5498
1607289408,5263,5506
1607291332,5262,5505
1607293239,5260,5503
1607295162,5258,5506
1607297074,5258,5507
1607299995,5251,5501
1607301887,5248,5498
1607303777,5242,5490
1607305751,5240,5487
1607307634,5241,5487
1607309548,5245,5491
1607311538,5236,5482
1607313436,5235,5483
1607316282,5241,5489
1607318190,5239,5485
1607320134,5243,5489
1607322020,5248,5492
1607323990,5252,5496
1607325894,5265,5510
1607328777,5258,5503
1607330661,5258,5503
1607333556,5243,5489
1607335492,5260,5506
1607337416,5261,5506
1607339597,5278,5523
1607342440,5265,5512
1607345328,5280,5527
1607347277,5290,5539
1607349160,5297,5545
1607351113,5299,5545
1607353008,5283,5531
1607354909,5291,5539
1607356859,5295,5542
1607358733,5298,5546
1607360702,5294,5542
1607362620,5298,5546
1607364523,5312,5560
1607368370,5313,5561
1607371241,5299,5547
1607373169,5302,5550
1607376043,5299,5546
1607377964,5311,5562
1607379909,5316,5567
1607381811,5321,5573
1607385652,5313,5565
1607390460,5287,5543
1607393331,5293,5548
1607397203,5283,5540
1607399098,5277,5534
1607401031,5274,5531
1607403887,5248,5507
1607406773,5241,5499
1607408688,5241,5496
1607410601,5254,5508
1607412501,5258,5511
1607414519,5254,5505
1607416352,5248,5499
1607418281,5253,5504
1607420203,5258,5510
1607423092,5259,5514
1607425992,5259,5514
1607428846,5258,5514
1607430759,5250,5509
1607433634,5243,5501
1607435568,5235,5491
1607438443,5229,5484
1607440343,5237,5493
1607442289,5257,5513
1607444204,5292,5549
1607447064,5304,5561
1607451874,5295,5554
1607453851,5302,5559
1607455743,5316,5571
