DateTime,AddedIPs,RemovedIPs
1607032856,52,47
1607034764,38,57
1607036669,56,36
1607038653,43,55
1607040503,58,42
1607042433,45,57
1607044371,57,45
1607048186,55,56
1607050131,47,52
1607052034,44,49
1607054901,54,46
1607057779,59,53
1607059720,47,59
1607061653,48,50
1607063557,46,48
1607071239,46,42
1607073152,39,51
1607075067,43,39
1607077006,41,45
1607078927,44,41
1607080856,41,44
1607082739,39,40
1607084716,40,41
1607087590,39,35
1607090464,40,38
1607092354,48,41
1607094280,37,48
1607096199,34,41
1607098343,43,34
1607100342,24,42
1607102187,34,23
1607104118,43,34
1607106075,44,40
1607107959,38,39
1607110856,41,41
1607112748,32,40
1607114691,34,35
1607118760,41,36
1607120694,39,41
1607122608,44,40
1607124512,39,44
1607126451,38,38
1607128384,43,34
1607130286,39,43
1607134126,30,42
1607137005,38,32
1607139884,51,37
1607141838,42,46
1607144669,52,46
1607146583,54,51
1607148550,45,54
1607150431,49,46
1607152350,52,50
1607154286,42,54
1607156184,48,41
1607158108,53,45
1607160045,45,57
1607161945,56,44
1607163877,51,56
1607165840,47,45
1607168682,45,50
1607170583,36,48
1607172501,38,34
1607176342,39,36
1607178258,44,42
1607181151,50,46
1607183121,37,49
1607185012,31,35
1607186941,24,31
1607188869,49,22
1607191006,47,49
1607192931,48,45
1607194871,50,51
1607196751,28,54
1607198668,37,29
1607201570,40,34
1607203507,42,41
1607205424,39,42
1607208261,40,38
1607210187,39,40
1607212129,46,42
1607214035,38,44
1607215940,36,38
1607217924,42,35
1607219784,29,41
1607222662,42,30
1607224586,64,43
1607226531,48,63
1607228432,49,44
1607230339,62,52
1607233226,58,65
1607235167,44,56
1607237082,33,36
1607238971,45,41
1607240927,49,45
1607242846,54,50
1607244735,50,55
1607246698,41,48
1607248864,41,43
1607250761,59,41
1607252686,48,56
1607254611,53,51
1607257464,55,51
1607259382,54,57
1607263277,48,49
1607268023,52,49
1607271878,52,53
1607276660,50,53
1607278606,45,48
1607280501,46,44
1607283390,42,46
1607285540,34,42
1607287482,23,37
1607289408,39,25
1607291332,33,36
1607293239,47,34
1607295162,36,46
1607297074,34,38
1607299995,36,32
1607301887,32,35
1607303777,33,33
1607305751,41,37
1607307634,38,39
1607309548,30,35
1607311538,34,30
1607313436,47,36
1607316282,38,48
1607318190,42,37
1607320134,47,39
1607322020,44,52
1607323990,43,44
1607325894,52,43
1607328777,39,48
1607330661,34,30
1607333556,37,40
1607335492,39,35
1607337416,41,42
1607339597,41,47
1607342440,45,41
1607345328,43,44
1607347277,52,40
1607349160,49,52
1607351113,52,52
1607353008,41,50
1607354909,42,42
1607356859,41,38
1607358733,41,47
1607360702,25,39
1607362620,39,25
1607364523,41,35
1607368370,32,43
1607371241,38,34
1607373169,39,35
1607376043,39,39
1607377964,42,39
1607379909,45,43
1607381811,51,43
1607385652,43,46
1607390460,61,53
1607393331,50,59
1607397203,56,49
1607399098,42,50
1607401031,39,45
1607403887,52,43
1607406773,53,52
1607408688,52,52
1607410601,45,51
1607412501,47,52
1607414519,40,42
1607416352,50,44
1607418281,45,49
1607420203,39,43
1607423092,43,41
1607425992,51,42
1607428846,48,50
1607430759,35,52
1607433634,43,32
1607435568,46,44
1607438443,30,45
1607440343,53,26
1607442289,55,52
1607444204,59,59
1607447064,64,62
1607451874,38,62
1607453851,42,40
1607455743,44,38
1607459567,34,47
1607461484,44,33
1607463383,50,46
1607466295,49,48
1607468223,42,45
1607470106,42,42
1607473983,35,43
1607475867,38,36
1607477798,26,39
1607479732,35,27
1607481628,46,33
1607483572,43,46
1607485492,42,41
1607488368,36,37
1607492179,40,37
1607496036,41,43
1607497947,49,46
1607499889,45,47
1607501777,52,44
1607503718,49,51
1607506585,44,52
1607509477,35,47
1607511407,32,33
1607513332,30,32
1607515254,33,31
1607517181,42,33
1607520057,48,43
1607521945,33,45
1607523873,41,34
1607527707,38,42
1607529633,45,36
1607531582,52,45
1607535668,31,52
1607537546,50,29
1607539730,39,43
1607541641,44,46
1607544538,40,40
1607546458,40,46
1607548355,41,37
1607550306,42,41
1607552211,46,39
1607554163,54,47
1607557005,42,57
1607558909,50,43
1607561070,40,46
1607562994,48,39
1607564938,43,48
1607566886,57,47
1607568741,55,58
1607570701,55,52
1607572594,51,60
1607574582,54,51
1607576485,61,50
1607578357,38,62
1607580286,46,24
1607582195,47,58
1607584103,41,49
1607586040,42,44
1607587936,45,42
1607589901,51,45
1607591788,47,52
1607593702,44,45
1607595666,41,45
1607597556,37,42
1607600436,40,38
1607602353,35,38
1607604288,41,35
1607606197,35,39
1607608346,46,38
1607610262,32,43
1607612209,34,33
1607614108,34,33
1607616111,32,34
1607618009,31,33
1607621790,20,30
1607623741,47,23
1607625648,39,44
1607627566,39,36
1607630452,38,37
1607632353,37,40
1607634265,53,37
1607637153,40,53
1607639129,39,41
1607640984,35,38
1607642905,37,39
1607644852,28,30
1607646753,46,33
1607648696,52,47
1607650594,51,53
1607652519,40,51
1607654442,48,39
1607656359,38,43
1607658265,41,40
1607660208,41,38
1607662143,31,40
1607664271,50,35
1607666221,57,50
1607668126,46,60
1607670039,34,37
1607672896,46,39
1607674851,39,48
1607676769,44,40
1607678667,31,48
1607681537,46,32
1607683481,28,45
1607685457,30,26
1607687304,33,33
1607689231,38,31
1607691173,34,38
1607693062,39,34
1607695005,33,38
1607696970,26,34
1607698851,45,25
1607702686,41,44
1607704611,48,42
1607706490,53,45
1607709393,36,59
1607711327,42,33
1607713233,34,39
1607715145,38,35
1607717126,40,42
1607718981,45,39
1607720907,39,43
1607722866,49,42
1607724744,35,43
1607726663,33,37
1607728614,40,38
1607730504,31,36
1607732453,34,24
1607734472,59,41
1607736512,61,61
1607738526,46,63
1607740368,50,43
1607742267,37,32
1607744205,44,52
1607746120,48,35
1607748987,52,60
1607750927,63,54
1607752829,50,61
1607754747,50,49
1607758585,55,48
1607760484,48,57
1607762443,50,47
1607765324,39,53
1607767230,43,40
1607769149,41,44
1607771089,35,38
1607773985,43,35
1607775861,45,47
1607777809,57,45
1607779728,47,55
1607781660,40,47
1607783539,42,38
1607785481,46,45
1607787391,35,44
1607789301,28,37
1607791250,27,26
1607793156,31,26
1607795071,43,31
1607797025,37,43
1607798918,41,36
1607802018,34,41
1607803943,31,33
1607805883,39,34
1607807792,27,38
1607809702,39,27
1607811634,39,38
1607813556,41,40
1607815504,41,38
1607817405,34,44
1607819298,39,35
1607822207,37,38
1607824365,39,36
1607826282,41,39
1607828209,31,41
1607830092,41,30
1607832053,37,43
1607833952,56,37
1607835885,35,35
1607837811,54,52
1607839697,43,43
1607841633,52,55
1607843563,41,56
1607845471,43,42
1607847385,38,42
1607849323,43,30
1607851219,42,53
1607853176,51,40
1607856987,47,50
1607858913,39,48
1607860878,46,39
1607862743,51,46
1607865652,44,46
1607867559,45,46
1607869502,43,45
1607873314,30,45
1607875300,35,28
1607877169,45,36
1607879069,42,49
1607880997,44,40
1607883928,41,44
1607885797,47,38
1607887751,28,48
1607889633,28,22
1607891608,25,25
1607893506,27,31
1607895385,40,31
1607897352,37,38
1607899245,38,36
1607901140,44,36
1607903106,39,44
1607905002,34,38
1607906906,34,37
1607909070,27,32
1607910986,30,24
1607912910,27,29
1607914885,29,30
1607916776,28,31
1607918729,36,29
1607921567,39,36
1607923474,51,37
1607925418,46,51
1607927319,52,51
1607929234,52,47
1607932118,48,51
1607934997,51,54
1607936959,47,52
1607938833,43,47
1607940739,46,43
1607942686,35,47
1607944587,37,35
1607946527,39,35
1607948454,39,38
1607950351,36,39
1607954202,42,39
1607956390,57,39
1607958265,46,57
1607960194,48,49
1607962135,45,43
1607964045,43,51
1607965987,51,36
1607968851,46,53
1607970806,46,47
1607972664,45,41
1607974597,51,46
1607976515,51,54
1607978406,46,56
1607980361,51,43
1607982280,40,50
1607985148,48,39
1607987085,49,51
1607989018,43,50
1607990913,43,41
1607992844,51,41
1607994749,49,51
1607996675,38,49
1607998609,44,39
1608000517,36,41
1608002438,41,39
1608004383,42,40
1608006311,33,40
1608008260,46,38
1608010115,39,45
1608012980,51,41
1608014923,50,47
1608017799,43,55
1608019746,51,42
1608021629,59,49
1608023536,49,58
1608025495,48,52
1608027388,58,46
1608029306,47,58
1608031247,50,45
1608034107,47,50
1608036023,49,49
1608037979,53,51
1608039864,55,49
1608041788,39,56
1608044666,47,41
1608046614,38,47
1608048525,52,37
1608050445,44,49
1608052375,41,42
1608054266,49,39
1608056235,43,49
1608058107,46,43
1608060067,39,48
1608061951,55,44
1608063901,57,53
1608065799,48,57
1608067730,44,50
1608069657,61,46
1608071547,48,56
1608073473,45,40
1608075415,34,53
1608077551,35,32
1608079516,50,37
1608081382,41,46
1608083313,57,39
1608085280,50,63
1608087149,56,50
1608089059,57,56
1608091947,50,56
1608093900,48,50
1608095782,39,42
1608098660,65,48
1608100594,43,67
1608102521,57,45
1608104475,53,55
1608106344,52,53
1608108287,47,52
1608110176,46,46
1608113065,53,42
1608116919,58,59
