DateTime,AddedIPs,RemovedIPs
1603990809,0,3
1604016010,1,0
1604019611,1,0
1604030409,0,3
1604034010,3,0
1604037611,1,0
1604044810,9,0
1604048412,0,1
1604055609,1,0
1604059210,3,0
1604062811,0,1
1604066412,1,1
1604080811,2,0
1604084411,4,0
1604088011,1,0
1604091610,0,1
1604095211,0,2
1604098810,1,0
1604109610,1,0
1604116810,1,0
1604127611,1,0
1604152812,1,1
1604156410,2,0
1604160011,1,1
1604174412,1,1
1604185210,2,0
1604188812,1,1
1604196011,0,1
1604199612,1,0
1604214012,1,0
1604221210,0,1
1604228412,0,1
1604242810,0,1
1604250011,1,0
1604257211,0,2
1604282412,0,1
1604286011,0,1
1604289612,0,1
1604293211,1,0
1604300410,1,0
1604304010,1,0
1604307612,0,1
1604314812,1,1
1604332812,1,1
1604347210,0,1
1604361610,0,1
1604365212,0,1
1604379612,0,1
1604390411,0,1
1604444410,1,0
1604458812,0,1
1604466010,1,0
1604469612,0,2
1604480411,0,1
1604484009,0,1
1604498410,0,2
1604505610,0,1
1604509211,1,1
1604520011,0,2
1604523608,0,1
1604527211,1,1
1604556009,0,1
1604559610,0,1
1604563208,0,1
1604574010,0,1
1604577611,0,2
1604581209,0,1
1604584811,0,1
1604588411,1,0
1604592009,0,1
1604606408,0,2
1604610010,3,0
1604620810,1,0
1604624409,0,1
1604631609,0,1
1604642409,0,1
1604653209,0,1
1604656811,0,3
1604660408,0,5
1604664009,0,1
1604682011,0,1
1604689209,0,1
1604700010,0,1
1604714409,0,1
1604728808,0,1
1604732409,0,1
1604750407,0,1
1604757608,0,1
1604761208,1,0
1604764808,1,0
1604768409,0,1
1604779210,2,1
1604782808,2,1
1604786409,1,0
1604790010,0,1
1604793609,0,2
1604800810,1,0
1604804409,0,3
1604836809,0,1
1604844009,1,0
1604847609,2,0
1604851208,0,2
1604858408,1,1
1604862009,0,1
1604876408,0,1
1604880009,1,0
1604883609,1,0
1604890808,0,3
1604894409,0,1
1604898009,1,0
1604901609,0,1
1604916009,0,1
1604919607,0,1
1604937609,0,1
1604948407,2,0
1604952008,2,0
1604955609,0,1
1604959209,0,1
1604962809,1,2
1604966410,1,0
1604980807,1,0
1604984408,1,0
1604991608,1,0
1604995208,2,0
1605002408,1,0
1605006008,0,1
1605009609,2,0
1605016808,1,1
1605024008,1,0
1605027610,1,0
1605038409,1,1
1605042008,2,0
1605045610,1,0
1605049209,0,1
1605052810,0,1
1605056410,1,0
1605060008,2,1
1605063610,0,1
1605081608,4,1
1605085208,1,0
1605092410,0,1
1605099610,2,2
