DateTime,AddedIPs,RemovedIPs
1606306656,86,180
1606310240,82,131
1606313832,65,74
1606317465,76,83
1606321048,64,82
1606324664,84,65
1606328244,76,34
1606331844,72,43
1606335479,76,83
1606339051,61,62
1606342666,65,78
1606346299,76,67
1606349933,77,61
1606353453,68,55
1606357027,59,69
1606360657,65,62
1606364253,62,47
1606367856,59,50
1606371437,57,44
1606375052,26,75
1606378634,75,72
1606382234,75,52
1606385855,66,65
1606389458,64,48
1606393034,54,56
1606396656,17,58
1606400234,68,23
1606403835,69,50
1606407436,49,60
1606411036,59,45
1606414649,120,42
1606418248,57,55
1606421847,69,52
1606425470,35,52
1606429067,59,39
1606432645,62,50
1606436370,69,47
1606439850,55,56
1606443468,65,48
1606447073,67,75
1606450640,62,55
1606454238,69,52
1606457842,55,56
1606461461,53,65
1606465058,16,36
1606468640,67,33
1606472242,66,31
1606475842,70,28
1606479445,70,33
1606483052,13,26
1606486651,69,17
1606490254,66,17
1606493854,20,32
1606497477,71,24
1606501079,76,31
1606504681,70,29
1606508261,58,28
1606511865,52,24
1606515463,52,42
1606519088,75,23
1606522771,63,25
1606526294,65,45
1606529893,63,44
1606533472,48,45
1606537092,54,24
1606540697,58,25
1606544274,56,25
1606547894,71,35
1606551471,63,35
1606555073,37,54
1606558697,49,36
1606562280,10,26
1606565882,20,20
1606569482,30,25
1606573080,20,39
1606576681,31,37
1606580305,29,28
1606583887,33,24
1606587506,27,34
1606591080,24,28
1606594681,30,35
1606598306,61,37
1606601883,39,33
1606605482,36,40
1606609181,26,36
1606612708,35,45
1606616301,24,25
1606619886,11,20
1606623474,13,39
1606627072,15,31
1606630692,18,37
1606634266,13,42
1606637893,20,35
1606641490,24,38
1606645089,15,44
1606648692,22,32
1606652264,20,43
1606655864,16,45
1606659465,22,57
1606663092,22,26
1606666661,11,41
1606670263,21,38
1606673886,133,29
1606677492,106,69
1606681069,91,41
1606684673,121,24
1606688297,76,76
1606691896,70,55
1606695579,64,28
1606699099,67,72
1606702700,60,36
1606706286,82,63
1606709879,117,110
1606713477,44,68
1606717096,53,70
1606720673,37,69
1606724295,34,64
1606727894,41,40
1606731467,33,59
1606735075,27,59
1606738693,30,52
1606742273,25,76
1606745875,40,56
1606749473,36,49
1606753077,27,51
1606756678,27,66
1606760295,28,69
1606763893,29,69
1606767466,60,43
1606771068,67,47
1606774668,51,67
1606778285,49,54
1606781984,54,54
1606785490,40,43
1606789087,25,66
1606792668,31,60
1606796260,41,60
1606799857,31,55
1606803488,28,67
1606807052,26,68
1606810675,31,27
1606814273,30,52
1606817851,43,56
1606821472,26,36
1606825080,30,33
1606828655,42,29
1606832261,24,20
1606835884,20,26
1606839484,31,27
1606843082,33,41
1606846682,21,26
1606850370,33,20
1606853936,28,38
1606857506,25,30
1606861070,21,36
1606864651,30,33
1606868373,27,27
1606871852,28,39
1606875448,25,33
1606879074,22,27
1606882674,21,33
1606886270,29,31
1606889843,27,54
1606893458,29,73
1606897055,23,57
1606900657,51,58
1606904233,23,61
1606907854,27,63
1606911428,29,86
1606915027,31,88
1606918624,35,78
1606922253,31,86
1606925832,25,72
1606929443,23,67
1606933056,41,73
1606936629,31,74
1606940239,23,80
1606943843,36,71
1606947435,46,57
1606951035,35,78
1606954702,27,61
1606958233,26,68
1606961807,27,64
1606965433,24,67
1606969026,17,66
1606972618,25,72
1606976196,20,55
1606979815,22,37
1606983412,31,82
1606987009,28,67
1606990591,32,70
1606994212,16,84
1606997790,34,64
1607001414,23,27
1607005009,28,66
1607008605,22,67
1607012206,24,58
1607015784,30,54
1607019380,27,125
1607022999,33,64
1607026579,19,78
1607030198,29,42
1607033789,33,68
1607037368,37,74
1607041062,34,73
1607044576,30,58
1607048160,51,91
1607051760,25,94
1607055374,33,66
1607058949,35,86
1607062567,47,81
1607066143,41,91
1607069743,30,27
1607073363,29,97
1607076962,24,98
1607080565,41,84
1607084143,39,96
1607087763,28,15
1607091365,61,102
1607094964,106,99
1607098559,92,32
1607102162,60,89
1607105759,61,111
1607109363,78,90
1607112937,58,81
1607116534,38,97
1607120131,46,87
1607123742,36,93
1607127433,40,102
1607130938,44,97
1607134535,56,122
1607138134,42,104
1607141728,52,85
1607145326,60,108
1607148902,57,99
1607152517,53,128
1607156095,27,115
1607159692,46,59
1607163289,42,104
1607166893,33,23
1607170495,24,28
1607174118,29,25
1607177699,30,23
1607181320,35,27
1607184894,28,26
1607188496,22,35
1607192114,31,40
1607195695,28,30
1607199312,27,29
1607202917,39,36
1607206516,44,32
1607210095,29,33
1607217310,80,83
1607220891,25,30
1607224496,36,18
1607228110,22,24
1607231690,25,17
1607235291,31,25
1607238891,28,32
1607242491,32,38
1607246090,39,29
1607249709,30,26
1607253292,22,35
1607256897,38,37
1607260516,26,38
1607264095,18,45
1607267710,15,46
1607271320,218,36
1607274920,77,26
1607278534,38,42
1607282208,162,37
1607285918,115,39
1607293032,151,104
1607296537,104,53
1607300471,93,60
1607303886,109,40
1607307324,94,52
1607310953,81,65
1607314527,104,50
1607318285,85,38
1607321734,71,52
1607325329,93,86
1607328957,72,40
1607332557,70,35
1607336141,66,25
1607339746,79,27
1607343368,72,32
1607346969,69,17
1607350576,111,29
1607354164,156,39
1607357806,136,37
1607361390,120,35
1607364990,116,25
1607368627,96,21
1607372259,123,38
1607375797,114,47
1607379415,93,31
1607382992,98,39
1607386709,112,40
1607390218,104,31
1607401038,563,98
1607404629,172,27
1607408239,194,41
1607411843,207,37
1607415449,197,38
1607419066,230,34
1607422668,153,48
1607426279,140,27
1607429886,98,39
1607433489,53,41
1607437089,44,36
1607440689,105,31
1607444287,97,29
1607447886,70,46
1607451488,102,31
1607455124,67,50
1607458699,77,26
1607462300,76,24
1607465903,67,31
1607469500,65,27
1607473199,82,21
1607476723,74,26
1607480308,56,35
1607483911,66,20
1607487509,72,34
1607491116,70,26
1607494716,50,29
1607498313,63,49
1607501914,49,35
1607505518,44,45
1607509120,41,24
1607512718,36,29
1607516327,257,25
1607519960,532,36
1607523566,80,26
1607527165,157,20
1607530785,581,24
1607534423,665,23
1607538048,549,26
1607541673,425,24
1607545280,216,21
1607548882,106,31
1607552486,92,30
1607556085,98,32
1607559781,104,19
1607563293,101,29
1607566913,99,29
1607570500,100,26
1607574106,118,24
1607577711,104,25
1607581313,125,16
1607584912,112,24
1607588519,99,32
1607592115,89,21
1607595728,118,32
1607599329,113,22
1607602942,112,30
1607606539,70,29
1607610152,112,27
1607613759,103,34
1607617353,62,32
1607620960,78,18
1607624563,121,16
1607628173,98,22
1607631775,117,23
1607635385,94,29
1607638974,110,25
1607642577,77,31
1607646277,86,38
1607649779,113,27
1607653385,101,46
1607656997,79,29
1607660587,94,41
1607664190,91,41
1607667785,88,33
1607671392,76,46
1607674989,76,21
1607678596,104,29
1607682201,81,39
1607685805,90,23
1607689418,62,22
1607693025,100,15
1607696623,102,29
1607700221,73,65
1607703824,108,60
1607707428,106,40
1607711031,103,49
1607714639,93,70
1607718252,90,28
1607721845,116,22
1607725437,82,29
1607729043,94,30
1607732738,81,27
1607736249,83,21
1607739850,97,37
1607743457,88,25
1607747050,85,29
1607750647,83,37
1607754254,133,34
1607757860,82,38
1607761457,82,47
1607765063,81,44
1607768665,90,38
1607772270,118,27
1607775883,72,19
1607779488,66,23
1607783094,83,22
1607786695,111,34
1607790291,90,18
1607793887,84,29
1607797486,68,29
1607801095,80,30
1607804696,68,28
1607808292,74,31
1607811900,58,36
1607815497,57,34
1607819192,70,36
1607822702,60,36
1607826305,62,22
1607829915,68,31
1607833502,77,32
1607837104,73,34
1607840705,71,31
1607844308,53,30
1607847912,92,23
1607851518,62,46
1607855115,58,38
1607858722,87,28
1607862324,93,43
1607865917,70,36
1607869524,48,46
1607873126,50,17
1607876723,131,59
1607880326,113,40
1607883934,86,36
1607887540,139,96
1607891134,107,27
1607894745,71,37
1607898336,113,73
1607901942,101,68
1607905641,87,39
1607909155,88,41
1607912748,95,44
1607916366,57,52
1607919953,87,50
1607923550,84,39
1607927148,71,47
1607930748,75,45
1607934351,70,47
1607937959,104,57
1607941557,59,44
1607945161,74,41
1607948758,88,35
1607952369,88,28
1607955991,71,95
1607959565,25,120
1607963160,49,117
1607966766,16,101
1607970359,34,110
1607973952,35,80
1607977558,27,106
1607981150,37,104
1607984754,34,83
1607988347,28,96
1607992075,34,90
1607995538,40,90
1607999144,33,189
1608002734,28,185
1608006319,34,172
1608009900,19,177
1608013489,27,189
1608017088,24,219
1608020681,23,207
1608024262,22,247
1608027853,27,184
1608031448,29,154
1608035045,26,126
1608038651,16,109
1608042246,23,56
1608045844,24,64
1608049439,34,57
1608053049,21,47
1608056646,23,66
1608060241,36,58
1608063840,21,39
1608067436,36,68
1608071035,39,40
1608074643,30,44
1608078339,32,78
1608081844,36,44
1608085431,29,43
1608089043,35,65
1608092630,28,56
1608096220,21,55
1608099820,35,51
1608103419,30,50
1608107024,24,49
1608110622,18,49
1608114213,28,41
1608117818,44,23
