DateTime,Entries,UniqueIPs
1606306656,20727,20727
1606310240,20678,20678
1606313832,20669,20669
1606317465,20662,20662
1606321048,20644,20644
1606324664,20663,20663
1606328244,20705,20705
1606331844,20734,20734
1606335479,20727,20727
1606339051,20726,20726
1606342666,20713,20713
1606346299,20722,20722
1606349933,20738,20738
1606353453,20751,20751
1606357027,20741,20741
1606360657,20744,20744
1606364253,20759,20759
1606367856,20768,20768
1606371437,20781,20781
1606375052,20732,20732
1606378634,20735,20735
1606382234,20758,20758
1606385855,20759,20759
1606389458,20775,20775
1606393034,20773,20773
1606396656,20732,20732
1606400234,20777,20777
1606403835,20796,20796
1606407436,20785,20785
1606411036,20799,20799
1606414649,20877,20877
1606418248,20879,20879
1606421847,20896,20896
1606425470,20879,20879
1606429067,20899,20899
1606432645,20911,20911
1606436370,20933,20933
1606439850,20932,20932
1606443468,20949,20949
1606447073,20941,20941
1606450640,20948,20948
1606454238,20965,20965
1606457842,20964,20964
1606461461,20952,20952
1606465058,20932,20932
1606468640,20966,20966
1606472242,21001,21001
1606475842,21043,21043
1606479445,21080,21080
1606483052,21067,21067
1606486651,21119,21119
1606490254,21168,21168
1606493854,21156,21156
1606497477,21203,21203
1606501079,21248,21248
1606504681,21289,21289
1606508261,21319,21319
1606511865,21347,21347
1606515463,21357,21357
1606519088,21409,21409
1606522771,21447,21447
1606526294,21467,21467
1606529893,21486,21486
1606533472,21489,21489
1606537092,21519,21519
1606540697,21552,21552
1606544274,21583,21583
1606547894,21619,21619
1606551471,21647,21647
1606555073,21630,21630
1606558697,21643,21643
1606562280,21627,21627
1606565882,21627,21627
1606569482,21632,21632
1606573080,21613,21613
1606576681,21607,21607
1606580305,21608,21608
1606583887,21617,21617
1606587506,21610,21610
1606591080,21606,21606
1606594681,21601,21601
1606598306,21625,21625
1606601883,21631,21631
1606605482,21627,21627
1606609181,21617,21617
1606612708,21607,21607
1606616301,21606,21606
1606619886,21597,21597
1606623474,21571,21571
1606627072,21555,21555
1606630692,21536,21536
1606634266,21507,21507
1606637893,21492,21492
1606641490,21478,21478
1606645089,21449,21449
1606648692,21439,21439
1606652264,21416,21416
1606655864,21387,21387
1606659465,21352,21352
1606663092,21348,21348
1606666661,21318,21318
1606670263,21301,21301
1606673886,21405,21405
1606677492,21442,21442
1606681069,21492,21492
1606684673,21589,21589
1606688297,21589,21589
1606691896,21604,21604
1606695579,21640,21640
1606699099,21635,21635
1606702700,21659,21659
1606706286,21678,21678
1606709879,21685,21685
1606713477,21661,21661
1606717096,21644,21644
1606720673,21612,21612
1606724295,21582,21582
1606727894,21583,21583
1606731467,21557,21557
1606735075,21525,21525
1606738693,21503,21503
1606742273,21452,21452
1606745875,21436,21436
1606749473,21423,21423
1606753077,21399,21399
1606756678,21360,21360
1606760295,21319,21319
1606763893,21279,21279
1606767466,21296,21296
1606771068,21316,21316
1606774668,21300,21300
1606778285,21295,21295
1606781984,21295,21295
1606785490,21292,21292
1606789087,21251,21251
1606792668,21222,21222
1606796260,21203,21203
1606799857,21179,21179
1606803488,21140,21140
1606807052,21098,21098
1606810675,21102,21102
1606814273,21080,21080
1606817851,21067,21067
1606821472,21057,21057
1606825080,21054,21054
1606828655,21067,21067
1606832261,21071,21071
1606835884,21065,21065
1606839484,21069,21069
1606843082,21061,21061
1606846682,21056,21056
1606850370,21069,21069
1606853936,21059,21059
1606857506,21054,21054
1606861070,21039,21039
1606864651,21036,21036
1606868373,21036,21036
1606871852,21025,21025
1606875448,21017,21017
1606879074,21012,21012
1606882674,21000,21000
1606886270,20998,20998
1606889843,20971,20971
1606893458,20927,20927
1606897055,20893,20893
1606900657,20886,20886
1606904233,20848,20848
1606907854,20812,20812
1606911428,20755,20755
1606915027,20698,20698
1606918624,20655,20655
1606922253,20600,20600
1606925832,20553,20553
1606929443,20509,20509
1606933056,20477,20477
1606936629,20434,20434
1606940239,20377,20377
1606943843,20342,20342
1606947435,20331,20331
1606951035,20288,20288
1606954702,20254,20254
1606958233,20212,20212
1606961807,20175,20175
1606965433,20132,20132
1606969026,20083,20083
1606972618,20036,20036
1606976196,20001,20001
1606979815,19986,19986
1606983412,19935,19935
1606987009,19896,19896
1606990591,19858,19858
1606994212,19790,19790
1606997790,19760,19760
1607001414,19756,19756
1607005009,19718,19718
1607008605,19673,19673
1607012206,19639,19639
1607015784,19615,19615
1607019380,19517,19517
1607022999,19486,19486
1607026579,19427,19427
1607030198,19414,19414
1607033789,19379,19379
1607037368,19342,19342
1607041062,19303,19303
1607044576,19275,19275
1607048160,19235,19235
1607051760,19166,19166
1607055374,19133,19133
1607058949,19082,19082
1607062567,19048,19048
1607066143,18998,18998
1607069743,19001,19001
1607073363,18933,18933
1607076962,18859,18859
1607080565,18816,18816
1607084143,18759,18759
1607087763,18772,18772
1607091365,18731,18731
1607094964,18738,18738
1607098559,18798,18798
1607102162,18769,18769
1607105759,18719,18719
1607109363,18707,18707
1607112937,18684,18684
1607116534,18625,18625
1607120131,18584,18584
1607123742,18527,18527
1607127433,18465,18465
1607130938,18412,18412
1607134535,18346,18346
1607138134,18284,18284
1607141728,18251,18251
1607145326,18203,18203
1607148902,18161,18161
1607152517,18086,18086
1607156095,17998,17998
1607159692,17985,17985
1607163289,17923,17923
1607166893,17933,17933
1607170495,17929,17929
1607174118,17933,17933
1607177699,17940,17940
1607181320,17948,17948
1607184894,17950,17950
1607188496,17937,17937
1607192114,17928,17928
1607195695,17926,17926
1607199312,17924,17924
1607202917,17927,17927
1607206516,17939,17939
1607210095,17935,17935
1607217310,17932,17932
1607220891,17927,17927
1607224496,17945,17945
1607228110,17943,17943
1607231690,17951,17951
1607235291,17957,17957
1607238891,17953,17953
1607242491,17947,17947
1607246090,17957,17957
