DateTime,Entries,UniqueIPs
1606248305,4080,4080
1606251882,4083,4083
1606255479,4084,4084
1606259075,4085,4085
1606262678,4087,4087
1606266278,4088,4088
1606269878,4089,4089
1606273480,4089,4089
1606277075,4082,4082
1606280670,4079,4079
1606284272,4076,4076
1606287872,4073,4073
1606291477,4073,4073
1606295071,4077,4077
1606298671,4077,4077
1606302272,4075,4075
1606305878,4077,4077
1606309473,4076,4076
1606313078,4075,4075
1606316677,4074,4074
1606320276,4073,4073
1606323886,4073,4073
1606327478,4074,4074
1606331079,4072,4072
1606334683,4069,4069
1606338283,4070,4070
1606341878,4069,4069
1606345480,4069,4069
1606349077,4067,4067
1606352678,4070,4070
1606356271,4071,4071
1606359873,4073,4073
1606367074,4072,4072
1606370673,4067,4067
1606374274,4071,4071
1606377879,4070,4070
1606381481,4070,4070
1606385081,4078,4078
1606388674,4076,4076
1606392279,4075,4075
1606395878,4074,4074
1606399478,4068,4068
1606403079,4066,4066
1606406678,4064,4064
1606410278,4065,4065
1606413878,4064,4064
1606417476,4063,4063
1606421081,4064,4064
1606424679,4062,4062
1606428281,4064,4064
1606431880,4066,4066
1606435480,4067,4067
1606446280,4066,4066
1606449873,4066,4066
1606453474,4066,4066
1606457073,4063,4063
1606460673,4066,4066
1606464273,4063,4063
1606467873,4065,4065
1606471473,4064,4064
1606475074,4066,4066
1606478674,4065,4065
1606482280,4064,4064
1606485873,4063,4063
1606489479,4064,4064
1606493074,4064,4064
1606500273,4059,4059
1606503874,4057,4057
1606507473,4056,4056
1606514678,4054,4054
1606518279,4053,4053
1606525480,4054,4054
1606529075,4055,4055
1606536279,4056,4056
1606539874,4056,4056
1606543479,4055,4055
1606547074,4056,4056
1606550673,4058,4058
1606554274,4059,4059
1606557878,4058,4058
1606561478,4059,4059
1606568674,4063,4063
1606572279,4067,4067
1606575879,4069,4069
1606579481,4070,4070
1606583076,4071,4071
1606586676,4073,4073
1606590275,4072,4072
1606593883,4073,4073
1606597482,4072,4072
1606601083,4071,4071
1606604676,4073,4073
1606608277,4073,4073
1606611885,4044,4044
1606615477,3971,3971
1606619067,3887,3887
1606622668,3825,3825
1606626265,3741,3741
1606629853,3643,3643
1606633454,3557,3557
1606637051,3469,3469
1606640640,3371,3371
1606644240,3267,3267
1606647834,3164,3164
1606651428,3060,3060
1606655017,2933,2933
1606658618,2820,2820
1606662215,2775,2775
1606665808,2718,2718
1606669409,2668,2668
1606673002,2596,2596
1606676599,2534,2534
1606680199,2467,2467
1606683791,2409,2409
1606687389,2343,2343
1606690988,2287,2287
1606694587,2209,2209
1606698180,2133,2133
1606701776,2051,2051
1606705375,1972,1972
1606708970,1911,1911
1606712562,1804,1804
1606716160,1710,1710
1606719755,1611,1611
1606723350,1520,1520
1606726946,1414,1414
1606730539,1300,1300
1606734132,1188,1188
1606737724,1045,1045
1606741318,881,881
1606744908,686,686
1606748509,672,672
1606752108,667,667
1606755706,667,667
1606759307,666,666
1606762909,667,667
1606766506,668,668
1606770106,672,672
1606773708,672,672
1606780908,669,669
1606784464,667,667
1606788062,666,666
1606791661,666,666
1606795261,665,665
1606798861,666,666
1606806060,638,638
1606809661,646,646
1606813259,635,635
1606816860,620,620
1606820460,620,620
1606824059,624,624
1606827659,622,622
1606831260,623,623
1606834862,632,632
1606838462,634,634
1606842063,633,633
1606845663,632,632
1606849262,634,634
1606852864,632,632
1606856462,630,630
1606860061,627,627
1606863661,629,629
1606867259,614,614
1606870860,613,613
1606874460,609,609
1606878058,608,608
1606881663,609,609
1606885258,609,609
1606888858,608,608
1606892458,608,608
1606896057,609,609
1606899659,608,608
1606903258,606,606
1606906860,605,605
1606910459,605,605
1606914060,606,606
1606917659,601,601
1606921260,600,600
1606924859,600,600
1606928461,603,603
1606932060,604,604
1606935660,605,605
1606939259,607,607
1606942859,605,605
1606946458,607,607
1606950061,607,607
1606953662,605,605
1606957260,602,602
1606960859,601,601
1606964461,616,616
1606968060,618,618
1606971661,622,622
1606975259,624,624
1606978861,617,617
1606982460,614,614
1606986059,614,614
1606989659,606,606
1606993260,608,608
1606996861,607,607
1607000459,604,604
1607004058,603,603
1607007658,602,602
1607011258,602,602
1607014859,600,600
1607018461,600,600
1607022059,601,601
1607025661,602,602
1607029261,602,602
1607032860,580,580
1607040059,578,578
1607050860,578,578
1607054458,578,578
1607058058,577,577
1607061659,578,578
1607065258,587,587
1607068861,588,588
1607072459,585,585
1607076060,586,586
1607079659,586,586
1607083260,588,588
1607086858,589,589
1607090460,587,587
1607094060,583,583
1607097658,582,582
1607101261,599,599
1607104861,598,598
1607108460,598,598
1607112061,594,594
1607115659,595,595
1607122860,590,590
1607126458,583,583
1607130059,583,583
1607133660,583,583
1607137258,581,581
1607140858,580,580
1607144460,589,589
1607148061,588,588
1607151659,569,569
1607155257,569,569
1607158857,572,572
1607166059,579,579
1607169658,590,590
1607173258,588,588
1607176857,578,578
1607180459,574,574
1607184058,583,583
1607187659,581,581
1607191258,588,588
1607194860,589,589
1607198460,589,589
1607205661,591,591
1607209258,587,587
1607212860,587,587
1607216458,587,587
1607223658,596,596
1607227259,603,603
1607230861,604,604
1607234461,612,612
1607238063,621,621
1607241662,624,624
1607245263,638,638
1607248863,639,639
1607252461,642,642
1607256063,646,646
1607259663,649,649
1607263265,663,663
1607266862,677,677
1607270464,695,695
1607274064,700,700
1607277666,743,743
1607281270,757,757
1607284885,773,773
1607288486,784,784
1607292077,791,791
1607295671,797,797
1607299290,798,798
1607302881,800,800
1607306469,801,801
1607310071,803,803
1607313670,805,805
1607317284,823,823
1607320871,827,827
1607324472,849,849
1607328073,856,856
1607331675,863,863
1607335275,867,867
1607338873,873,873
1607342475,877,877
1607346073,876,876
1607349676,879,879
1607353274,891,891
1607356874,892,892
1607360477,898,898
1607364075,901,901
1607367677,905,905
1607371276,915,915
1607374879,918,918
1607378478,925,925
1607382079,934,934
1607385680,940,940
1607389279,944,944
1607392878,945,945
1607400079,946,946
1607403693,946,946
1607407293,957,957
1607410892,958,958
1607414493,954,954
1607418092,958,958
1607421693,963,963
1607425295,963,963
1607428894,965,965
1607432494,971,971
1607436094,981,981
1607439694,976,976
1607443293,977,977
1607446895,977,977
1607450495,977,977
1607454094,981,981
1607457702,983,983
1607461295,986,986
1607464895,985,985
1607468494,984,984
1607472096,988,988
1607475696,1002,1002
1607479297,1004,1004
1607482896,1005,1005
1607486495,1005,1005
1607490095,1003,1003
1607493696,1007,1007
1607497297,1009,1009
1607500896,1013,1013
1607504496,1011,1011
1607508096,1014,1014
1607511695,1014,1014
1607515297,1013,1013
1607518896,1014,1014
1607522495,1015,1015
1607526098,1017,1017
1607529696,1017,1017
1607533295,1017,1017
1607536898,1028,1028
1607540498,1032,1032
1607544098,1036,1036
1607547698,1037,1037
1607551297,1038,1038
1607554898,1037,1037
1607558499,1038,1038
1607562097,1038,1038
1607565697,1040,1040
1607569297,1048,1048
1607572899,1053,1053
1607576499,1052,1052
1607580099,1059,1059
1607583698,1063,1063
1607587301,1064,1064
1607590898,1065,1065
1607594500,1069,1069
1607598101,1073,1073
1607601699,1079,1079
1607605300,1086,1086
1607608899,1088,1088
1607612502,1095,1095
1607616102,1097,1097
1607619703,1103,1103
1607623301,1107,1107
1607626901,1107,1107
1607630502,1106,1106
1607634101,1110,1110
1607637703,1111,1111
1607641301,1116,1116
1607644903,1117,1117
1607652103,1120,1120
1607655702,1121,1121
1607659303,1122,1122
1607662903,1124,1124
1607666501,1123,1123
1607670102,1123,1123
1607673704,1124,1124
1607677302,1128,1128
1607680903,1127,1127
1607684503,1125,1125
1607688102,1124,1124
1607691702,1124,1124
1607695302,1126,1126
1607698904,1127,1127
1607702504,1128,1128
1607706104,1122,1122
1607709704,1132,1132
1607713303,1130,1130
1607716904,1128,1128
1607720503,1127,1127
1607724104,1134,1134
1607727703,1133,1133
1607731305,1135,1135
1607734906,1135,1135
1607738503,1134,1134
1607742105,1137,1137
1607749304,1129,1129
1607752903,1130,1130
1607756503,1131,1131
1607760105,1138,1138
1607763703,1139,1139
1607767304,1143,1143
1607770905,1141,1141
1607774504,1129,1129
1607778103,1132,1132
1607781703,1136,1136
1607785304,1137,1137
1607788904,1134,1134
1607792504,1135,1135
1607796103,1130,1130
1607799705,1148,1148
1607803306,1152,1152
1607806906,1149,1149
1607810506,1148,1148
1607814105,1147,1147
1607817706,1148,1148
1607821304,1146,1146
1607824906,1148,1148
1607828504,1144,1144
1607832105,1142,1142
1607835706,1143,1143
1607839306,1140,1140
1607842905,1134,1134
1607846505,1131,1131
1607850104,1129,1129
1607853703,1129,1129
1607857305,1128,1128
1607860905,1126,1126
1607864505,1126,1126
1607868105,1121,1121
1607871703,1115,1115
1607875349,1108,1108
1607878948,1106,1106
1607882548,1095,1095
1607886147,1094,1094
1607889749,1085,1085
1607893347,1080,1080
1607896949,1082,1082
1607900548,1080,1080
1607904149,1079,1079
1607907748,1081,1081
1607911350,1082,1082
1607914951,1084,1084
1607918550,1083,1083
1607922147,1077,1077
1607925748,1078,1078
1607929348,1071,1071
1607932948,1066,1066
1607936547,1058,1058
1607940148,1053,1053
1607943748,1054,1054
1607947348,1053,1053
1607950949,1055,1055
1607954549,1046,1046
1607958147,1039,1039
1607961747,1038,1038
1607965352,1122,1122
1607968958,1231,1231
1607972566,1388,1388
1607976173,1531,1531
1607979780,1689,1689
1607983389,1849,1849
1607986996,1960,1960
1607990584,2094,2094
1607994160,2215,2215
1607997765,2371,2371
1608001375,2500,2500
1608004982,2656,2656
1608008587,2784,2784
1608012191,2901,2901
1608015798,3016,3016
1608019406,3136,3136
1608023011,3253,3253
1608026615,3343,3343
1608030222,3440,3440
1608033826,3556,3556
1608037431,3640,3640
1608041034,3713,3713
1608044632,3715,3715
1608048234,3716,3716
1608051833,3717,3717
1608055433,3715,3715
1608059035,3713,3713
1608062633,3710,3710
1608066235,3709,3709
1608069836,3708,3708
1608073439,3713,3713
1608077036,3713,3713
1608080636,3707,3707
1608084235,3708,3708
1608087836,3708,3708
1608091434,3711,3711
1608095035,3712,3712
1608098634,3711,3711
1608102235,3714,3714
1608105834,3714,3714
1608109435,3715,3715
1608113034,3719,3719
1608116636,3726,3726
