DateTime,AddedIPs,RemovedIPs
1602163226,1,0
1602169824,1,0
1602173425,13,0
1602176726,0,2
1602177025,0,1
1602192025,0,1
1602202226,8,0
1602231026,5,0
1602241826,0,1
1602259825,10,0
1602288626,11,0
1602317425,10,0
1602346225,10,0
1602369027,0,1
1602375024,5,0
1602403825,5,0
1602432626,1,0
1602461425,5,0
1602490227,9,0
1602504027,0,1
1602519025,8,0
1602522027,1,0
1602545126,0,1
1602545428,0,1
1602546024,0,1
1602546625,0,2
1602547229,0,1
1602547824,8,0
1602576624,10,0
1602605427,8,0
1602613526,4,0
1602614425,0,1
1602622829,0,1
1602634226,7,0
1602663025,6,0
1602674125,1,0
1602691826,18,0
1602693325,1,0
1602696327,2,0
1602713725,0,1
1602720626,16,0
1602742527,3,0
1602749425,9,0
1602767726,1,0
1602770124,1,0
1602771626,1,0
1602774031,1,0
1602774625,1,0
1602778224,9,0
1602787226,1,0
1602807025,12,0
1602814527,0,1
1602824726,1,0
1602835825,11,0
1602837629,1,0
1602841828,1,0
1602842125,1,0
1602847225,1,0
1602856524,0,1
1602864626,8,0
1602867629,2,0
1602893424,13,0
1602922225,3,0
1602951024,16,0
1602969024,0,1
1602979825,6,0
1603008625,6,0
1603037427,13,0
1603039528,0,1
1603047027,685,0
1603047324,865,0
1603047629,13,0
1603047928,497,0
1603048225,854,0
1603048527,228,0
1603053029,0,1
1603053324,0,1
1603053928,0,1
1603066225,14,0
1603095327,4,0
1603111529,0,1
1603123825,10,0
1603140027,0,4
1603151725,0,1
1603152625,11,0
1603181425,13,0
1603210225,14,0
1603217728,10,0
1603232426,0,1
1603239025,12,0
1603252524,0,1
1603267825,23,0
1603272326,0,1
1603296626,8,0
1603306828,0,1
1603325425,19,0
1603345528,1,0
1603350625,1,0
1603354223,10,0
1603383026,10,0
1603383327,0,1
1603401328,1,0
1603411826,15,0
1603420230,0,1
1603420526,0,2
1603420827,0,1
1603440625,8,0
1603465230,0,1
1603469426,7,0
1603496732,1,0
