DateTime,AddedIPs,RemovedIPs
1604210883,641,641
1604214722,252,252
1604222403,388,388
1604226243,329,329
1604230082,234,234
1604233922,306,306
1604245442,92,92
1604249282,291,291
1604256963,183,183
1604264642,170,170
1604280002,202,202
1604283843,969,969
1604295603,735,735
1604299443,735,735
1604303282,735,735
1604314808,501,501
1604318642,263,263
1604322483,263,263
1604326322,263,263
1604334003,186,186
1604341688,146,146
1604353202,117,117
1604368563,249,249
1604372402,952,952
1604383922,979,979
1604387762,31,31
1604391602,31,31
1604395442,202,202
1604406962,48,48
1604418482,2,2
1604441523,1,1
1604453042,2,2
1604456883,997,997
1604472243,750,750
1604491442,424,424
1604495282,327,327
1604506802,151,151
1604510642,213,213
1604514482,213,213
1604522162,175,175
1604533682,101,101
1604545202,987,987
1604552883,762,762
1604568242,426,426
1604575922,280,280
1604583603,56,56
1604587443,176,176
1604591283,176,176
1604595122,176,176
1604602802,153,153
1604614322,116,116
1604622002,207,207
1604629682,973,973
1604641202,774,774
1604652722,443,443
1604664242,290,290
1604668082,56,56
1604679603,240,240
1604691124,132,132
1604698803,137,137
1604702643,137,137
1604706482,137,137
1604710322,235,235
1604718002,974,974
1604729523,597,597
1604733363,597,597
1604737202,597,597
1604748722,397,397
1604760243,223,223
1604764082,245,245
1604767922,42,42
1604775610,206,206
1604787123,85,85
1604798642,127,998
1604814002,943,72
1604821682,540,540
1604833208,453,453
1604856242,309,309
1604860082,78,78
1604863922,244,244
1604875443,188,188
1604886963,90,90
1604890802,979,979
1604902322,779,779
1604906162,779,779
1604910002,779,779
1604913842,444,444
1604917686,444,444
1604921522,610,610
1604925362,300,300
1604929203,351,351
1604944563,352,352
1604948402,151,151
1604956083,151,151
1604963762,93,93
1604967602,183,183
1604975282,987,987
1604986803,752,752
1605002162,548,548
1605006002,132,132
1605009842,302,302
1605017522,71,71
1605025202,187,187
1605036722,154,154
1605048242,172,172
1605059762,239,239
1605067442,973,973
1605082802,525,525
1605094322,547,547
1605105842,212,212
1605117362,153,153
1605132723,175,175
1605140402,239,239
1605144243,239,239
1605148082,991,991
1605159602,814,814
1605175209,328,328
1605186722,246,246
1605198242,222,222
1605205922,173,173
1605217442,76,76
1605221522,76,76
1605225362,76,76
1605233042,957,957
1605252244,738,738
1605263762,382,382
1605267603,305,305
1605271442,305,305
1605275282,305,305
1605279122,175,175
1605290642,139,139
1605294483,139,139
1605298322,139,139
1605302163,151,151
1605313683,206,206
1605317522,206,206
1605321362,206,206
1605329043,966,966
1605336722,570,570
1605340562,570,570
1605344402,570,570
1605355923,473,473
1605359763,149,149
1605371285,244,244
1605386642,163,163
1605390482,122,122
1605394322,122,122
1605398163,122,122
1605402009,148,994
1605417363,950,104
1605425044,488,488
1605428883,488,488
1605432722,488,488
1605444243,417,417
1605448082,96,96
1605451922,96,96
1605455762,96,96
1605459602,282,282
1605463442,130,130
1605467282,66,66
1605474962,135,135
1605478803,193,193
1605482643,193,193
1605490322,177,177
1605494162,957,957
1605509522,819,819
1605521042,442,442
1605536402,264,264
1605547922,217,217
1605555603,156,156
1605571210,158,158
1605582963,138,1000
1605586802,949,87
1605598563,536,536
1605602403,536,536
1605606242,536,536
1605610082,370,370
1605625442,218,218
1605633123,180,180
1605644643,161,161
1605656162,160,160
1605667683,980,980
1605671522,681,681
1605675362,1,1
1605679207,1,1
1605683042,615,615
1605686882,616,616
1605690722,616,616
1605698402,356,356
1605706083,215,215
1605717603,137,137
1605721445,137,137
1605725282,137,137
1605732962,122,122
1605736802,122,122
1605740643,122,122
1605752162,116,116
1605756002,968,968
1605767523,554,554
1605790563,415,415
1605794406,309,309
1605798242,309,309
1605802082,415,415
1605813602,145,145
1605825122,107,107
1605836642,216,990
1605840483,913,139
1605852013,617,617
1605863762,391,391
