DateTime,AddedIPs,RemovedIPs
1607693477,24,23
1607694124,8,0
1607695323,3,0
1607696523,2,0
1607697123,29,27
1607697723,2,0
1607698924,5,0
1607700124,5,0
1607700675,15,21
1607700781,2,0
1607701323,1,0
1607702523,27,0
1607703724,4,1
1607704281,26,20
1607704924,2,0
1607706124,4,0
1607706724,2,0
1607707323,1,0
1607707924,1,0
1607707982,16,15
1607708523,2,0
1607709724,4,0
1607710923,6,0
1607711472,24,30
1607712123,5,0
1607712723,3,0
1607713924,4,0
1607714523,7,0
1607715723,2,0
1607716924,46,32
1607718123,4,0
1607718781,0,1
1607719323,6,0
1607719923,4,0
1607720524,3,0
1607721724,1,0
1607722923,2,0
1607724123,18,33
1607725324,4,0
1607725982,3,0
1607726524,1,0
1607726727,0,51
1607727124,1,0
1607727702,28,34
1607728924,2,0
1607729464,23,22
1607730124,3,0
1607731323,5,0
1607732524,9,0
1607733724,3,0
1607734324,10,0
1607734923,50,27
1607735524,1,0
1607736124,6,0
1607736724,44,22
1607737324,7,0
1607737924,3,0
1607738523,4,0
1607739124,4,0
1607739723,3,0
1607740924,5,1
1607742124,29,31
1607742723,2,0
1607743324,2,0
1607743869,38,40
1607745123,6,0
1607745724,4,0
1607746923,3,0
1607747486,51,66
1607748124,8,1
1607748723,3,0
1607749324,1,0
1607750523,4,0
1607751105,39,43
1607751724,4,0
1607752923,2,0
1607753524,1,0
1607754123,4,0
1607754724,4,0
1607755324,4,1
1607755923,1,0
1607756546,47,35
1607757124,1,0
1607757724,2,0
1607758439,23,32
1607758924,1,0
1607759523,9,0
1607760124,7,0
1607760723,1,0
1607761324,3,0
1607761890,24,20
1607762524,3,0
1607763123,4,0
1607763723,25,17
1607764924,17,0
1607766123,3,0
1607767324,5,1
1607768524,3,0
1607769124,12,27
1607770324,3,0
1607771031,4,1
1607772123,2,2
1607772665,26,16
1607772723,1,1
1607773323,2,0
1607773924,1,0
1607774524,21,20
1607775724,3,0
1607776924,1,0
1607778124,1,0
1607779324,1,0
1607779866,20,21
1607780524,5,1
1607781124,3,0
1607781724,3,0
1607783488,12,20
1607784124,5,0
1607785323,1,0
1607786524,3,0
1607787072,23,23
1607787724,1,0
1607788324,22,0
1607789523,8,0
1607790123,3,0
1607790723,2,1
1607792523,37,18
1607793723,1,0
1607794287,19,19
1607794923,2,0
1607796123,3,0
1607797323,5,0
1607797924,1,1
1607798523,1,0
1607799723,17,18
1607800323,3,0
1607800923,6,0
1607801523,25,32
1607802123,3,0
1607803323,1,0
1607804523,5,0
1607806983,17,15
1607807524,1,0
1607808123,1,0
1607808680,21,24
1607809324,2,1
1607810523,4,0
1607811723,2,0
1607812273,19,23
1607812924,1,0
1607814123,1,0
1607814724,1,0
1607815324,1,0
1607815907,18,31
1607816524,6,0
1607817723,53,22
1607818924,1,1
1607820723,1,0
1607821323,3,0
1607822523,22,0
1607823071,44,26
1607823724,4,0
1607824924,3,0
1607825524,3,0
1607826123,3,0
1607826689,16,25
1607827323,6,0
1607828523,4,0
1607829123,3,0
1607830277,44,45
1607830923,5,0
1607831523,4,0
1607832723,5,0
1607833323,6,0
1607833899,47,54
1607834523,2,0
1607835723,2,0
1607836924,8,0
1607837475,34,43
1607837524,1,0
1607839323,0,1
1607840524,2,0
1607841084,46,37
1607841723,2,0
1607844123,0,1
1607844669,12,17
1607845323,8,1
1607846523,6,0
1607847723,5,0
1607848271,16,22
1607848923,1,0
1607850123,28,10
1607851323,5,0
1607851923,3,0
1607853123,3,0
1607853723,14,15
1607854923,1,1
1607855524,1,0
1607856130,2,1
1607857323,1,0
1607857924,1,0
1607859090,19,21
1607859124,2,0
1607859723,2,0
1607860323,3,0
1607861523,6,0
1607862123,1,0
1607862676,14,24
1607863323,6,0
1607864524,3,0
1607865124,2,0
1607865723,1,1
1607866273,27,20
1607866923,1,0
1607867523,1,0
1607868123,2,0
1607869323,3,0
1607869923,2,0
1607870523,17,17
1607871724,1,0
1607872924,0,2
1607873523,22,26
1607874123,2,0
1607875323,20,18
1607875924,1,0
1607878923,1,0
1607882524,17,29
1607883723,1,0
1607884324,1,0
1607884923,2,0
1607886123,37,22
1607887324,2,0
1607887923,3,1
1607888523,1,0
1607889749,27,17
1607890923,1,0
1607891468,19,19
1607891523,1,0
1607892123,2,1
1607893324,2,0
1607894523,2,1
1607895086,18,34
1607895723,2,0
1607896323,1,0
1607897523,1,0
1607898123,1,0
1607898690,17,25
1607899323,3,1
1607900524,1,0
1607901124,1,0
1607901724,1,0
1607902923,5,0
1607904144,26,20
1607905336,3,0
1607905889,47,19
1607906523,1,0
1607908923,4,0
1607910123,2,1
1607911323,6,2866
1607912523,2873,0
1607913780,1,0
1607914324,31,28
1607914924,2,0
1607915524,7,1
1607916123,1,1
