DateTime,AddedIPs,RemovedIPs
1607636218,16,8
1607636458,69,114
1607638081,9,6
1607639443,128,86
1607640001,11,11
1607640342,18,179
1607641243,46,28
1607641951,26,7
1607642041,50,53
1607643045,0,254
1607643845,33,5
1607643946,48,75
1607644860,48,29
1607645768,183,0
1607646642,68,51
1607646846,20,92
1607647685,13,11
1607649603,15,8
1607650248,97,98
1607651545,9,10
1607652056,95,108
1607653450,67,67
1607654540,67,103
1607655365,12,18
1607656548,35,46
1607657308,10,12
1607657447,43,0
1607658663,71,103
1607659207,8,8
1607660183,56,57
1607661372,42,85
1607663288,1,8
1607665229,132,177
1607667128,65,84
1607667905,64,5
1607669046,3,9
1607670989,8,13
1607671318,160,181
1607672045,39,65
1607672895,12,9
1607673679,333,87
1607674850,15,14
1607675644,331,111
1607676767,10,4
1607678666,9,9
1607679243,528,260
1607680601,13,8
1607681005,121,195
1607682513,8,11
1607682844,146,158
1607684408,10,482
1607685350,181,399
1607686329,14,7
1607686450,76,192
1607688273,224,0
1607688930,320,117
1607690167,90,148
1607690731,57,197
1607692084,11,6
1607692777,151,137
1607693644,45,145
1607694029,12,12
1607695529,78,592
1607695922,9,12
1607697120,47,1
1607697848,14,7
1607697934,256,0
1607698208,67,208
1607699785,11,11
1607699994,82,105
1607700637,0,252
1607701687,8,3
1607702403,59,198
1607702663,81,95
1607703605,15,9
1607704451,117,103
1607705548,13,18
1607706038,76,38
1607707443,10,12
1607707505,93,81
1607708628,62,162
1607709391,6,9
1607710541,60,97
1607711325,6,11
1607711644,95,113
1607713231,12,12
1607715142,119,127
1607715244,73,640
1607717124,15,12
1607717743,0,253
1607717922,128,149
1607718979,53,202
1607719314,0,506
1607720905,331,76
1607721906,105,320
1607722864,12,10
1607724741,6,10
1607724949,100,726
1607726047,65,249
1607726660,7,4
1607728612,13,9
1607729650,156,495
1607730504,6,16
1607731895,78,189
1607732453,210,0
1607734472,7,12
1607736512,14,9
1607738525,7,14
1607740367,10,6
1607742267,9,7
1607744205,11,7
1607746119,12,5
1607748034,9,13
1607749926,13,13
1607751846,6,3
1607753786,13,14
1607755685,12,13
1607757604,13,9
1607759647,18,10
1607761710,38,8
1607763616,7,9
1607765524,7,10
1607766356,68,161
1607767182,1267,2564
1607767470,8,8
1607768705,72,8
1607769361,4,9
1607769954,21,147
1607771283,4,461
1607773228,148,268
1607774478,36,811
1607775122,205,0
1607775757,48,102
1607776538,15,142
1607777044,9,11
1607778296,78,146
1607778984,12,15
1607780048,85,145
1607780881,12,11
1607781603,1265,252
1607781998,65,151
1607782802,9,10
1607783790,77,121
1607784745,7,16
1607785237,60,44
1607786644,10,4
1607786706,80,83
1607787245,20,125
1607788562,8,9
1607790511,6,7
1607790845,170,242
1607792410,8,5
1607794326,16,3
1607794446,182,499
1607796270,18,9
1607796943,60,118
1607797844,52,7
1607798160,13,4
1607798744,273,146
1607800085,69,47
1607801476,89,179
1607802016,27,10
1607803539,256,0
1607803941,13,14
1607804759,75,118
1607805248,126,115
1607805880,16,12
1607807790,31,13
1607807835,180,112
1607808845,46,106
1607809699,266,11
1607810846,83,84
1607811632,14,11
1607811906,55,0
1607813150,30,67
1607813553,26,8
1607814052,87,75
1607815501,13,11
1607815506,75,8
1607815853,256,0
1607816048,18,83
1607817405,11,6
1607817768,74,58
1607819298,199,0
1607819651,118,98
1607821237,8,16
1607823155,11,8
1607823246,184,160
1607824217,245,0
1607825050,17,5
1607825278,81,62
1607826962,18,19
1607827300,97,60
1607829153,94,87
1607829905,0,14892
1607831047,59,40
1607832059,14948,0
1607832964,11,8
1607833418,101,51
1607834045,49,58
1607834908,7,5
1607836804,7,5
1607837457,146,75
1607838723,10,3
1607839258,92,97
1607840669,6,9
1607841244,148,151
1607842563,3,6
1607843757,0,15006
1607844486,50,38
1607844657,14684,0
1607845399,27,443
1607846444,12,15
1607848327,13,15
1607848444,115,401
1607850250,4,12
1607850957,0,13993
1607852191,13934,13
1607854086,62,119
1607855105,78,3
1607856008,8,8
1607856356,43,84
1607857258,137,21
1607857949,7,508
1607859244,103,127
1607859845,9,6
1607859957,17,27
1607861775,305,50
1607862853,68,79
1607863709,18,5
1607864457,84,35
1607865650,22,10
1607866257,50,59
1607866445,41,68
1607867558,11,5
1607868090,763,759
1607869500,95,81
1607869837,256,0
1607870736,57,85
1607871379,5,14
1607871637,61,279
1607873313,148,71
1607873646,99,117
1607875299,42,8
1607876461,229,298
1607876707,264,70
1607877167,31,14
1607877245,83,104
1607879067,35,14
1607879741,232,95
1607880996,10,10
1607881541,108,79
1607882917,504,118
1607884805,203,96
1607886726,31,14
1607886944,270,90
1607887846,0,253
1607888651,174,110
1607889156,97,27
1607890587,27,42
1607891448,116,88
1607892483,24,9
1607894404,18,12
1607895049,0,256
1607895246,402,250
1607896329,21,8
1607897185,166,77
1607898242,16,13
1607898307,136,0
1607900187,23,6
1607900452,70,119
1607901137,110,50
1607902086,18,6
1607902255,0,255
1607902445,84,86
1607904019,275,0
1607905951,23,6
1607906043,274,124
1607907873,18,10
1607909105,179,78
1607909788,12,8
1607910655,27,115
1607911686,65,65
1607912705,92,104
1607913604,13,11
1607914029,72,110
1607915547,15,9
1607917447,406,40
1607918458,259,62
1607919387,19,9
1607920453,688,70
1607921283,9,14
1607923203,12,20
1607923858,628,60
1607924050,219,45
1607925124,20,9
1607925657,240,13
1607927045,28,8
1607927104,96,29
1607927644,24,55
1607928988,31,14
1607929604,92,54
1607930887,24,16
1607931057,47,2
1607932821,97,103
1607933757,64,52
1607934750,24,37
1607935558,89,56
1607936648,12,13
1607938564,13,13
1607939725,208,199
1607940512,118,82
1607942412,68,13
1607944324,7,544
1607944555,163,130
1607945649,117,53
1607946272,18,10
1607947672,121,85
1607948172,222,0
1607949244,137,94
1607950088,10,14
1607950968,112,33
1607952030,17,11
1607952307,129,42
1607952845,30,80
1607953925,13,13
1607954403,553,1033
1607955844,12,13
1607956235,61,306
1607956444,25,86
1607957788,15,267
1607958936,42,27
1607959689,196,72
1607960044,47,75
1607961288,59,27
1607961614,4,7
1607963562,96,68
1607963644,30,83
1607965451,15,5
1607965818,50,36
1607966048,53,65
1607967363,12,10
1607967941,58,320
1607969310,16,8
1607969742,50,32
1607970304,87,47
1607971206,9,2
1607971543,31,68
1607972443,255,0
1607973127,48,30
1607973470,79,42
1607975073,9,6
1607976371,41,388
1607977208,18,9
1607977505,119,165
1607979123,17,12
1607979648,62,78
1607981071,8,5
1607981644,105,123
1607982963,5,13
1607984886,11,7
1607985050,130,99
1607986846,76,115
1607988729,12,8
1607989553,115,301
1607989805,72,121
1607990914,191,0
1607992844,78,77
1607993154,46,62
1607994054,35,66
1607994749,23,5
1607995505,61,4
1607996675,28,11
1607997795,74,136
1607998609,19,13
1607999645,106,139
1608000516,19,12
1608001255,94,31
1608002438,12,12
1608002705,79,65
1608003245,16,84
1608004382,9,3
1608005326,81,92
