DateTime,AddedIPs,RemovedIPs
1607155926,71,74
1607157870,49,59
1607159770,74,78
1607161684,75,47
1607163635,88,83
1607165521,46,65
1607167449,72,3885
1607169391,134,103
1607171287,1793,0
1607173214,107,147
1607175149,87,62
1607177049,93,61
1607178965,93,88
1607180913,77,76
1607182804,95,73
1607184722,106,96
1607186670,97,55
1607188566,95,62
1607190512,102,80
1607192406,111,59
1607194324,110,69
1607196268,92,65
1607198164,97,73
1607200082,99,63
1607202041,90,80
1607203923,73,55
1607205850,72,100
1607207790,118,69
1607209692,119,68
1607211605,90,66
1607213549,1446,0
1607215445,103,93
1607217363,84,73
1607219310,64,36
1607221210,282,69
1607223124,57,57
1607225074,61,50
1607226967,107,74
1607228889,63,48
1607230841,63,53
1607232726,74,49
1607234650,64,64
1607236591,69,46
1607238484,74,46
1607240410,77,63
1607242348,49,65
1607244245,66,59
1607246167,63,63
1607248113,72,76
1607250003,46,72
1607251950,76,69
1607253845,53,3750
1607255763,129,108
1607257709,1710,0
1607259613,108,76
1607261521,66,71
1607263471,64,73
1607265362,54,82
1607267288,21,56
1607269225,186,102
1607271129,170,65
1607273045,119,59
1607274995,57,53
1607276884,51,58
1607278809,50,86
1607280749,265,67
1607282646,132,89
1607284561,227,72
1607286507,65,63
1607288440,71,75
1607290327,79,66
1607292272,203,79
1607294165,124,73
1607296085,76,57
1607298005,78,84
1607299996,1378,0
1607301887,143,38
1607303777,77,54
1607305751,84,47
1607307634,57,62
1607309548,82,55
1607311538,58,66
1607313436,107,60
1607315321,49,43
1607317242,69,50
1607319127,74,43
1607321053,65,41
1607322990,77,69
1607324886,56,57
1607326805,53,79
1607328777,67,59
1607330661,69,51
1607332601,59,69
1607334507,84,62
1607336409,77,79
1607338333,62,44
1607340269,77,4073
1607342164,143,140
1607344088,1768,0
1607346051,124,152
1607347928,85,75
1607349847,79,69
1607351799,114,72
1607353684,85,55
1607355604,104,76
1607357548,110,104
1607359448,74,55
1607361361,114,64
1607363307,91,70
1607365205,82,57
1607367147,140,74
1607369046,99,64
1607370964,105,79
1607372910,98,59
1607374814,105,70
1607376723,73,59
1607378674,102,56
1607380562,105,88
1607382506,79,47
1607384404,111,111
1607386324,1504,0
1607388270,96,110
1607390164,69,70
1607392088,66,57
1607394030,63,61
1607395926,77,44
1607397849,58,52
1607399787,70,92
1607401689,71,54
1607403623,105,48
1607405526,83,59
1607407450,111,61
1607409391,106,54
1607411288,87,58
1607413205,69,58
1607415144,93,56
1607417045,85,58
1607418963,96,54
1607420907,96,64
1607422804,88,39
1607424725,72,86
1607426669,79,4286
1607428563,125,132
1607430757,1853,0
1607432709,70,138
1607434565,29,85
1607436485,35,54
1607438442,42,89
1607440341,264,56
1607442288,101,91
1607444202,121,88
1607446114,54,73
1607448027,59,67
1607449952,100,89
1607451872,229,53
1607453849,126,91
1607455741,106,53
1607457735,82,77
1607459565,90,70
1607461482,129,71
1607463381,209,91
1607465340,145,78
1607467203,120,59
1607469124,83,92
1607471069,75,103
1607472994,1654,0
1607475131,114,115
1607477051,73,50
1607478990,91,70
1607480884,56,45
1607482850,88,74
1607484750,83,70
1607486650,66,69
1607488564,70,50
1607490510,51,51
1607492409,78,86
1607494324,87,38
1607496272,97,64
1607498175,88,61
1607500086,63,55
1607502030,90,61
1607503924,28,64
1607505858,76,69
1607507789,72,84
1607509683,61,66
1607511684,54,4347
1607513548,58,91
1607515459,2017,0
1607517613,119,151
1607519523,83,69
1607521468,75,65
1607523364,85,66
1607525527,88,85
1607527448,73,65
1607529387,98,78
1607531580,111,95
1607533720,77,109
1607535667,106,107
1607537544,103,111
1607539728,95,99
1607541639,155,90
1607543552,81,76
1607545446,84,71
1607547386,91,106
1607549284,88,84
1607551253,96,132
1607553125,96,63
1607555050,93,73
1607557006,100,101
1607558910,1725,0
1607561070,61,94
1607562995,85,62
1607564939,71,49
1607566886,95,51
1607568741,111,70
1607570701,56,50
1607572594,60,60
1607574582,92,61
1607576485,63,86
1607578357,43,84
1607580286,64,103
1607582194,68,90
1607584102,53,76
1607586040,80,66
1607587936,69,67
1607589901,66,79
1607591788,64,98
1607593701,55,93
1607595665,69,97
1607597555,53,63
1607599478,52,4373
1607601384,92,88
1607603286,1802,0
1607605206,109,93
1607607144,101,94
1607609047,81,70
1607610962,95,84
1607612909,101,79
1607614804,73,75
1607616722,73,78
1607618666,83,59
1607620561,64,70
1607622481,74,59
1607624424,88,117
1607626322,95,93
1607628269,95,78
1607630161,74,85
1607632351,77,74
1607634264,98,42
1607636218,145,100
1607638081,85,60
1607640001,103,66
1607641951,150,57
1607643845,109,54
1607645768,1504,0
1607647685,56,89
1607649603,79,61
1607651545,71,81
1607653450,53,40
1607655365,86,71
1607657308,54,75
1607659207,56,55
1607661372,60,65
1607663288,49,51
1607665229,55,58
1607667128,52,71
1607669046,37,93
1607670989,63,89
1607672895,62,57
1607674850,80,76
1607676767,67,28
1607678666,52,75
1607680601,78,68
1607682513,68,67
1607684408,63,3745
1607686329,97,66
1607688273,1640,0
1607690167,101,63
1607692084,74,62
1607694029,84,91
1607695922,97,86
1607697848,80,108
1607699785,105,58
1607701687,73,33
1607703605,92,80
1607705548,89,114
1607707443,58,51
1607709391,106,70
1607711325,92,54
1607713231,117,68
1607715142,95,77
1607717124,138,80
1607718979,93,69
1607720905,104,63
1607722864,114,66
1607724741,89,64
1607726660,91,49
1607728612,127,67
1607730504,91,74
1607732453,1384,0
1607734472,65,45
1607736512,72,63
1607738525,68,78
1607740367,70,87
1607742267,64,48
1607744205,84,28
1607746119,84,53
1607748034,89,81
1607749926,61,53
1607751846,69,45
1607753786,81,56
1607755685,61,52
1607757604,56,60
1607759647,83,65
1607761710,94,75
1607763616,66,59
1607765524,65,41
1607767470,66,66
1607769361,89,59
1607771283,58,3568
1607773228,76,89
1607775122,1522,0
1607777044,111,63
1607778984,88,92
1607780881,77,65
1607782802,57,47
1607784745,81,97
1607786644,84,49
1607788562,84,70
1607790511,65,54
1607792410,72,61
1607794326,93,48
1607796270,102,58
1607798160,100,41
1607800085,93,57
1607802016,149,58
1607803941,108,62
1607805880,101,71
1607807790,146,68
1607809699,91,71
1607811632,110,83
1607813553,111,66
1607815501,78,72
1607817405,97,75
1607819298,1283,0
1607821237,53,67
1607823155,63,45
1607825050,65,41
1607826962,255,67
1607829153,88,56
1607831047,59,40
1607832964,69,54
1607834908,46,23
1607836804,46,56
1607838723,70,44
1607840669,47,45
1607842563,41,41
1607844486,50,38
1607846444,52,58
1607848327,70,67
1607850250,38,61
1607852191,63,58
1607854086,58,67
1607856008,84,77
1607857949,62,4043
1607859845,71,65
1607861775,1841,0
1607863709,128,83
1607865650,120,77
1607867558,69,63
1607869500,34,68
1607871379,29,86
1607873313,38,72
1607875299,241,93
1607877167,158,97
1607879067,129,73
1607880996,74,79
1607882917,95,76
1607884805,86,69
1607886726,252,79
1607888651,106,79
1607890587,100,119
1607892483,80,64
1607894404,81,86
1607896329,170,84
1607898242,162,78
1607900187,145,88
1607902086,75,57
1607904019,1578,0
1607905951,96,63
1607907873,140,55
1607909788,104,56
1607911686,85,49
1607913604,61,56
1607915547,85,54
1607917447,68,63
1607919387,91,84
1607921283,63,66
1607923203,82,61
1607925124,95,55
1607927045,82,68
1607928988,89,64
1607930887,106,66
1607932821,92,88
1607934750,83,89
1607936648,86,70
1607938564,82,85
1607940512,59,59
1607942412,90,89
1607944324,70,3810
1607946272,97,68
1607948172,1575,0
1607950088,95,72
1607952030,118,60
1607953925,83,60
1607955844,84,97
1607957788,90,90
1607959689,93,82
1607961614,63,62
1607963562,93,45
1607965451,90,42
1607967363,105,87
1607969310,87,75
1607971206,93,35
1607973127,115,56
1607975073,96,46
1607977208,130,67
1607979123,152,65
1607981071,88,45
1607982963,59,65
1607984886,95,62
1607986846,69,102
1607988729,91,45
1607990914,1348,0
1607992844,118,75
1607994749,112,40
1607996675,102,37
1607998609,107,80
1608000516,82,68
1608002438,84,63
1608004382,84,40
1608006311,64,53
1608008259,61,31
1608010114,77,41
1608012133,48,67
1608013952,48,33
1608015851,43,37
1608017799,58,51
1608019745,69,47
1608021628,89,66
1608023535,43,30
1608025494,50,47
1608027388,85,64
1608029305,94,85
1608031246,92,4530
1608033229,71,87
1608035070,2027,0
1608036968,128,157
1608038889,87,89
1608040843,105,103
1608042731,92,68
1608044665,82,59
1608046612,103,93
1608048523,53,89
1608050444,83,63
1608052374,48,86
1608054265,59,69
1608056233,70,106
1608058105,136,73
1608060065,133,120
1608061949,94,87
1608063900,73,74
1608065797,128,99
1608067728,95,91
1608069655,135,67
1608071545,95,71
1608073470,100,92
1608075415,96,87
1608077551,1731,0
1608079517,86,103
1608081382,55,99
1608083313,48,60
1608085280,78,76
1608087149,84,33
1608089060,62,70
1608091027,72,48
1608092894,68,65
1608094823,71,75
1608096748,56,56
1608098660,79,71
1608100594,117,86
1608102520,54,73
1608104475,94,118
1608106343,50,63
1608108286,43,75
1608110175,79,99
1608112116,76,53
1608114011,117,67
1608115926,72,92
1608117877,60,4108
