DateTime,Entries,UniqueIPs
1607155926,7852,7852
1607157870,7842,7842
1607159770,7838,7838
1607161684,7866,7866
1607163635,7871,7871
1607165521,7852,7852
1607167449,4039,4039
1607169391,4070,4070
1607171287,5863,5863
1607173214,5823,5823
1607175149,5848,5848
1607177049,5880,5880
1607178965,5885,5885
1607180913,5886,5886
1607182804,5908,5908
1607184722,5918,5918
1607186670,5960,5960
1607188566,5993,5993
1607190512,6015,6015
1607192406,6067,6067
1607194324,6108,6108
1607196268,6135,6135
1607198164,6159,6159
1607200082,6195,6195
1607202041,6205,6205
1607203923,6223,6223
1607205850,6195,6195
1607207790,6244,6244
1607209692,6295,6295
1607211605,6319,6319
1607213549,7765,7765
1607215445,7775,7775
1607217363,7786,7786
1607219310,7814,7814
1607221210,8027,8027
1607223124,8027,8027
1607225074,8038,8038
1607226967,8071,8071
1607228889,8086,8086
1607230841,8096,8096
1607232726,8121,8121
1607234650,8121,8121
1607236591,8144,8144
1607238484,8172,8172
1607240410,8186,8186
1607242348,8170,8170
1607244245,8177,8177
1607246167,8177,8177
1607248113,8173,8173
1607250003,8147,8147
1607251950,8154,8154
1607253845,4457,4457
1607255763,4478,4478
1607257709,6188,6188
1607259613,6220,6220
1607261521,6215,6215
1607263471,6206,6206
1607265362,6178,6178
1607267288,6143,6143
1607269225,6227,6227
1607271129,6332,6332
1607273045,6392,6392
1607274995,6396,6396
1607276884,6389,6389
1607278809,6353,6353
1607280749,6551,6551
1607282646,6594,6594
1607284561,6749,6749
1607286507,6751,6751
1607288440,6747,6747
1607290327,6760,6760
1607292272,6884,6884
1607294165,6935,6935
1607296085,6954,6954
1607298005,6948,6948
1607299996,8326,8326
1607301887,8431,8431
1607303777,8454,8454
1607305751,8491,8491
1607307634,8486,8486
1607309548,8513,8513
1607311538,8505,8505
1607313436,8552,8552
1607315321,8558,8558
1607317242,8577,8577
1607319127,8608,8608
1607321053,8632,8632
1607322990,8640,8640
1607324886,8639,8639
1607326805,8613,8613
1607328777,8621,8621
1607330661,8639,8639
1607332601,8629,8629
1607334507,8651,8651
1607336409,8649,8649
1607338333,8667,8667
1607340269,4671,4671
1607342164,4674,4674
1607344088,6442,6442
1607346051,6414,6414
1607347928,6424,6424
1607349847,6434,6434
1607351799,6476,6476
1607353684,6506,6506
1607355604,6534,6534
1607357548,6540,6540
1607359448,6559,6559
1607361361,6609,6609
1607363307,6630,6630
1607365205,6655,6655
1607367147,6721,6721
1607369046,6756,6756
1607370964,6782,6782
1607372910,6821,6821
1607374814,6856,6856
1607376723,6870,6870
1607378674,6916,6916
1607380562,6933,6933
