DateTime,Entries,UniqueIPs
1606802410,3734,3734
1606805109,3891,3891
1606806909,4158,4158
1606809610,4431,4431
1606812310,4851,4851
1606814109,5615,5615
1606816807,5680,5680
1606819508,6205,6205
1606821308,6774,6774
1606824008,8376,8376
1606826707,10190,10190
1606828507,10907,10907
1606831208,11725,11725
1606833908,11857,11857
1606836606,13427,13427
1606839307,13854,13854
1606842009,9704,9704
1606844710,1776,1776
1606846511,1787,1787
1606849211,2737,2737
1606851913,3183,3183
1606853715,2226,2226
1606856414,3343,3343
1606859112,3277,3277
1606860914,3210,3210
1606863616,3266,3266
1606866315,4041,4041
1606868114,4682,4682
1606870816,5141,5141
1606873515,4895,4895
1606875319,4984,4984
1606878020,6154,6154
1606880716,6954,6954
1606882519,7454,7454
1606885217,4420,4420
1606887915,1974,1974
1606890615,1218,1218
1606893317,1099,1099
1606896014,2121,2121
1606898714,2757,2757
1606901413,3792,3792
1606904113,5134,5134
1606906814,6788,6788
1606909512,7832,7832
1606912214,9244,9244
1606914913,10970,10970
1606917614,12693,12693
1606920311,12141,12141
1606922111,11752,11752
1606924812,11205,11205
1606927511,10138,10138
1606930211,9080,9080
1606932913,8060,8060
1606935610,6417,6417
1606938310,5085,5085
1606941011,2117,2117
1606943712,2968,2968
1606946412,2110,2110
1606949113,2605,2605
1606950913,3038,3038
1606953613,4269,4269
1606956314,5306,5306
1606958112,6872,6872
1606960813,8460,8460
1606963512,9704,9704
1606966211,10263,10263
1606968912,10510,10510
1606971610,10784,10784
1606974312,11190,11190
1606977011,11573,11573
1606979711,11948,11948
1606982410,12270,12270
1606985109,12342,12342
1606987808,12447,12447
1606990507,12425,12425
1606993204,12733,12733
1606995905,13993,13993
1606997705,14538,14538
1607000404,15260,15260
1607003105,16107,16107
1607005805,17025,17025
1607008504,17646,17646
1607011205,16418,16418
1607013907,14675,14675
1607015706,14131,14131
1607018405,13793,13793
1607021106,13153,13153
1607022906,12228,12228
1607025606,11265,11265
1607028307,11689,11689
1607031006,13210,13210
1607033707,13867,13867
1607036407,14181,14181
1607039105,14163,14163
1607041805,14179,14179
1607044506,14288,14288
1607047206,14471,14471
1607049904,14678,14678
1607052604,14621,14621
1607055305,15110,15110
1607058004,15857,15857
1607060704,16619,16619
1607063404,17431,17431
1607066104,18111,18111
1607068804,17960,17960
1607071505,18030,18030
1607074204,18616,18616
1607076904,18678,18678
1607079605,17715,17715
1607082304,17296,17296
1607085004,17241,17241
1607087704,16289,16289
1607090404,15755,15755
1607093105,15221,15221
1607094904,15451,15451
1607097605,15195,15195
1607100303,14890,14890
1607103004,14792,14792
1607105704,14773,14773
1607108404,14354,14354
1607111105,13785,13785
1607112904,13274,13274
1607115604,12724,12724
1607118304,12690,12690
1607120104,13192,13192
1607122804,13385,13385
1607125504,13499,13499
1607128204,13400,13400
1607130903,13197,13197
1607133603,13140,13140
1607136303,13110,13110
1607139004,12903,12903
1607141703,12706,12706
1607144403,12448,12448
1607147103,12296,12296
1607148903,12435,12435
1607151604,12401,12401
1607154303,12152,12152
1607156103,11729,11729
1607158804,11777,11777
1607161503,11631,11631
1607163304,11539,11539
1607166004,11275,11275
1607168704,10196,10196
1607170504,8250,8250
