DateTime,Entries,UniqueIPs
1607569324,2492,2535
1607570523,2493,2536
1607571723,2494,2537
1607572924,2495,2538
1607574123,2496,2539
1607575323,2491,2534
1607575923,2486,2529
1607577723,2515,2558
1607578924,2516,2559
1607580123,2518,2561
1607581924,2520,2563
1607583723,2518,2562
1607584923,2516,2560
1607586123,2515,2559
1607588523,2516,2560
1607589724,2517,2561
1607592124,2514,2558
1607593323,2515,2559
1607594523,2517,2561
1607596923,2509,2553
1607597523,2510,2554
1607598723,2507,2551
1607599924,2507,2551
1607606524,2504,2548
1607607124,2505,2549
1607607724,2505,2549
1607608923,2506,2550
1607610123,2512,2558
1607611323,2514,2560
1607612523,2515,2561
1607613724,2512,2558
1607614324,2513,2559
1607616723,2531,2577
1607617324,2533,2579
1607619123,2535,2581
1607620323,2532,2578
1607621524,2534,2580
1607622123,2536,2582
1607623324,2532,2578
1607625124,2511,2557
1607625723,2511,2557
1607626924,2513,2559
1607628123,2509,2555
1607629323,2508,2554
1607629923,2506,2552
1607631124,2505,2551
1607634124,2506,2552
1607635324,2509,2555
1607635924,2510,2556
1607636524,2508,2554
1607638323,2503,2549
1607638923,2505,2551
1607640124,2510,2556
1607641323,2510,2556
1607641923,2512,2558
1607643124,2508,2554
1607643723,2518,2564
1607644924,2530,2576
1607645523,2527,2573
1607646123,2528,2574
1607647323,2531,2577
1607648523,2529,2575
1607649724,2528,2574
1607650324,2528,2574
1607651523,2531,2577
1607652124,2532,2577
1607653324,2532,2577
1607654524,2536,2581
1607656923,2545,2590
1607657524,2545,2591
1607659323,2551,2597
1607660524,2556,2602
1607661723,2556,2602
1607662923,2560,2606
1607664123,2563,2609
1607666524,2562,2608
1607667723,2561,2607
1607668924,2565,2611
1607670123,2564,2610
1607671324,2565,2611
1607672523,2566,2612
1607673723,2569,2615
1607674923,2570,2616
1607675524,2571,2617
1607676724,2573,2619
1607677323,2577,2623
1607679723,2589,2635
1607680323,2586,2631
1607681524,2587,2632
1607682124,2588,2633
1607683923,2587,2632
1607684523,2579,2624
1607685124,2578,2623
1607686323,2579,2624
1607686923,2579,2625
1607687523,2578,2624
1607688723,2584,2630
1607689924,2587,2633
1607690524,2587,2633
1607691124,2589,2635
1607691723,2589,2635
1607692924,2587,2633
1607694124,2586,2632
1607695323,2580,2626
1607695923,2584,2630
1607697123,2579,2625
1607697723,2573,2619
1607698924,2577,2623
1607700124,2581,2627
1607700724,2582,2628
1607702523,2630,2674
1607703723,2628,2672
1607706124,2624,2667
1607707323,2621,2663
1607707924,2615,2657
1607708523,2617,2659
1607709123,2615,2657
1607710923,2619,2661
1607712123,2616,2658
1607712723,2612,2654
1607713924,2613,2655
1607714523,2615,2657
1607715723,2619,2661
1607716924,2658,2700
1607717524,2661,2703
1607718724,2661,2703
1607719323,2659,2701
1607719923,2663,2705
1607720524,2658,2700
1607722923,2661,2703
1607724123,2662,2704
1607725324,2666,2708
1607725924,2667,2709
1607727124,2663,2705
1607728924,2663,2705
1607730124,2662,2704
1607731323,2657,2699
1607732524,2662,2705
1607733724,2657,2700
1607734324,2664,2709
1607735524,2668,2713
1607736124,2667,2711
1607737324,2672,2716
1607737924,2674,2718
1607738523,2671,2715
1607739723,2675,2719
1607740924,2676,2720
1607742124,2676,2720
1607742723,2677,2722
1607743324,2677,2722
1607744524,2678,2723
1607745123,2679,2724
1607745724,2674,2717
1607746923,2663,2706
1607748124,2667,2710
1607748723,2660,2703
1607749324,2661,2704
1607750523,2665,2708
1607751724,2670,2713
1607752923,2672,2715
1607754123,2673,2717
1607754724,2671,2715
1607755324,2672,2716
1607755923,2671,2715
1607757124,2670,2714
1607758924,2671,2715
1607759523,2671,2715
1607760124,2672,2716
1607761324,2675,2719
1607762524,2673,2717
1607763123,2674,2718
1607763723,2675,2719
1607764924,2713,2760
1607766723,2709,2756
1607767324,2711,2758
