DateTime,AddedIPs,RemovedIPs
1607671324,24,24
1607671923,12,12
1607672523,15,15
1607673723,20,20
1607674923,22,22
1607675524,9,9
1607676724,23,23
1607677323,31,31
1607677924,17,17
1607678524,7,7
1607679723,42,42
1607680323,10,10
1607681524,38,38
1607682124,7,7
1607682723,9,9
1607683923,13,13
1607684523,11,11
1607685124,11,11
1607686323,30,30
1607686923,12,12
1607687523,7,7
1607688723,38,38
1607689323,8,8
1607689924,25,25
1607690524,11,11
1607691124,12,12
1607691723,11,11
1607692924,15,15
1607694124,46,46
1607695323,23,23
1607695923,25,25
1607697123,20,20
1607697723,22,22
1607698924,29,29
1607700124,46,46
1607700724,19,19
1607701323,8,8
1607701923,11,11
1607702523,92,94
1607703723,70,68
1607704924,20,20
1607706124,24,24
1607706724,10,10
1607707323,14,14
1607707924,13,13
1607708523,23,23
1607709123,17,17
1607710923,23,23
1607712123,25,25
1607712723,15,15
1607713924,26,26
1607714523,43,43
1607715723,59,59
1607716924,90,90
1607717524,34,34
1607718724,34,34
1607719323,20,20
1607719923,20,20
1607720524,12,12
1607721724,18,18
1607722923,47,47
1607724123,21,21
1607725324,45,45
1607725924,21,21
1607727124,18,18
1607728323,11,11
1607728924,30,30
1607730124,61,61
1607731323,67,67
1607732524,74,74
1607733724,35,35
1607734324,25,25
1607735524,56,56
1607736124,8,8
1607737324,39,39
1607737924,17,17
1607738523,13,13
1607739723,37,37
1607740924,31,31
1607742124,22,22
1607742723,15,15
1607743324,18,18
1607744524,46,46
1607745123,15,15
1607745724,12,12
1607746923,31,31
1607748124,28,28
1607748723,19,19
1607749324,7,7
1607750523,26,26
1607751724,44,44
1607752324,17,17
1607752923,27,27
1607754123,30,30
1607754724,16,16
1607755324,7,7
1607755923,10,10
1607757124,21,21
1607758324,15,15
1607758924,22,23
1607759523,11,11
1607760124,22,22
1607761324,20,20
1607762524,32,32
1607763123,15,15
1607763723,11,10
1607764924,82,82
1607766723,48,49
1607767324,23,23
1607768524,24,24
1607769124,7,7
1607770324,22,22
1607770924,12,12
1607771524,17,17
1607772723,19,18
1607773323,11,11
1607773923,17,17
1607774524,13,13
1607775724,26,26
1607776924,18,18
1607778124,9,9
1607779324,15,15
1607780524,19,19
1607781124,11,11
1607781724,9,9
1607782323,6,6
1607782924,7,7
1607784124,15,15
1607785323,22,22
1607785923,15,15
1607786524,12,12
1607787724,16,16
1607788323,7,7
1607790123,40,40
1607791323,24,24
1607792523,21,21
1607793723,7,7
1607794923,12,12
1607796123,22,22
1607797323,18,18
1607797924,18,18
1607798523,12,12
1607799723,18,18
1607800923,33,33
1607802123,29,29
1607803323,13,13
1607804523,21,21
1607805124,8,8
1607806323,44,44
1607806924,19,19
1607808123,32,32
1607809324,37,37
1607810523,26,26
1607811723,37,37
1607812924,27,27
1607814123,17,17
1607815324,44,44
1607816524,42,42
1607817723,64,64
1607818924,46,46
1607819523,8,8
1607820723,33,33
1607821323,18,18
1607822523,84,84
1607823124,26,26
1607824924,75,75
1607825523,36,36
1607826123,9,9
1607827323,33,33
1607828523,42,42
1607829123,33,33
1607829723,24,24
1607830923,47,47
1607831523,25,25
1607833323,53,53
1607833923,22,22
1607835723,47,47
1607836924,38,38
1607837524,38,38
1607838123,11,11
1607839323,16,16
1607840524,28,28
1607841723,38,38
1607842923,34,34
1607844123,15,15
1607845323,43,43
1607846523,19,19
1607847723,29,29
1607848923,27,27
1607850123,17,17
1607850723,14,14
1607851323,14,14
1607852523,22,22
1607853123,14,14
1607853723,9,9
1607854923,10,10
1607856123,23,23
1607856723,10,10
1607857323,12,12
1607857924,30,30
1607858523,14,14
1607859723,17,17
1607860323,30,30
1607860923,9,9
1607861523,14,14
1607862123,7,7
1607863323,13,13
1607863923,6,6
1607864524,14,14
1607865124,23,23
1607865723,13,13
1607866923,21,21
1607867523,8,8
1607868123,6,6
1607868723,18,18
1607869923,19,19
1607870523,10,10
1607871724,30,30
1607872924,13,13
1607873523,4,4
1607874123,8,8
1607874723,7,7
1607875924,8,8
1607876523,6,6
1607877723,23,23
1607878923,18,18
1607880123,22,22
1607881323,16,16
1607882524,23,23
1607883723,27,27
1607884324,9,9
1607884923,5,5
1607886123,29,29
1607887324,21,21
1607887923,24,24
1607888523,16,16
1607889723,16,16
1607890923,34,34
1607892123,33,33
1607893324,28,28
1607894523,36,36
1607895723,18,18
1607896323,6,6
1607897523,33,33
1607898123,20,20
1607899323,20,20
1607899923,34,34
1607900523,18,18
1607901724,34,34
1607902923,60,60
1607904123,45,45
1607904723,17,17
1607905324,18,18
1607906523,39,39
1607907723,49,49
1607908324,10,10
1607908923,39,39
1607909523,12,12
1607910123,38,38
1607911323,26,26
1607912523,34,34
1607913124,9,9
1607913724,22,22
1607914924,37,37
1607915524,11,11
1607916123,9,9
1607917323,31,31
1607918523,18,18
1607919723,28,28
1607920923,16,16
1607922123,47,47
1607923324,45,45
1607924523,32,32
1607925724,57,57
1607926924,17,17
1607927524,10,10
1607928723,16,16
1607929323,33,33
1607930523,15,15
1607931723,21,21
1607932323,12,12
1607932923,10,10
1607934124,13,13
1607934723,10,10
1607935324,12,12
1607936523,16,16
1607937123,12,12
1607937724,8,8
1607938323,15,15
1607938924,16,16
1607939523,24,24
1607940723,30,30
1607941324,9,9
1607941924,15,15
1607943123,30,30
1607943724,9,9
1607944923,43,43
1607945524,4,4
1607946123,7,7
1607946724,1,1
1607947324,2,2
1607948523,13,13
1607949723,8,8
1607950923,22,22
1607952123,12,12
1607952723,8,8
1607953924,11,11
1607954523,6,6
1607956323,24,24
1607956923,5,5
1607957523,14,14
1607958724,10,10
1607959323,5,5
1607960523,6,6
1607961124,9,9
1607962324,12,12
1607962923,2,2
1607964123,8,8
1607965323,28,28
1607966523,23,23
1607967723,17,17
1607968923,14,14
1607969523,12,12
1607970123,25,25
1607970724,8,8
1607971323,10,10
1607971923,2,2
1607972524,14,14
1607973723,28,28
1607974923,16,16
1607975523,27,27
1607976724,24,24
1607977323,20,20
1607977925,48,48
1607978523,26,26
1607979723,29,29
1607980323,25,25
1607980924,17,17
1607982123,44,44
1607983323,43,43
1607984523,22,22
1607985124,18,18
1607985723,9,9
1607986324,25,25
1607987524,39,39
1607988124,5,5
1607989323,30,30
1607989924,23,23
1607990524,14,14
1607991124,5,5
1607991724,21,21
1607992323,9,9
1607992924,5,5
1607993524,24,24
1607994124,13,13
1607995324,24,24
1607996524,41,41
1607997124,23,23
1607997724,26,26
1607998323,23,23
1607998923,7,7
1608000124,41,41
1608000724,22,22
1608001324,10,10
1608001924,8,8
1608002524,17,17
1608003123,9,9
1608004323,25,25
1608004923,16,16
