DateTime,AddedIPs,RemovedIPs
1605906901,109,0
1605914102,217,0
1605917702,105,3940
1605925801,292,0
1605929403,131,0
1605933002,116,0
1605936602,129,0
1605940202,110,0
1605943801,130,0
1605947402,133,0
1605951003,202,0
1605954602,143,0
1605958202,115,0
1605961802,125,0
1605965402,99,0
1605969002,113,0
1605972601,104,0
1605976202,83,0
1605979803,117,0
1605983402,80,0
1605987002,129,0
1605990602,119,0
1605994201,88,0
1606001403,117,0
1606008602,94,3263
1606015803,159,0
1606023003,132,1
1606030203,156,0
1606037403,123,0
1606044602,267,0
1606051801,120,0
1606055402,43,0
1606059002,107,0
1606062602,73,0
1606066203,73,0
1606069801,62,0
1606073403,82,0
1606077002,86,0
1606080602,81,0
1606084202,71,0
1606087801,50,0
1606091402,52,3563
1606098602,233,0
1606102203,116,0
1606109402,387,0
1606113002,120,0
1606120202,315,0
1606123802,188,0
1606131002,244,0
1606134602,189,0
1606141802,240,0
1606145402,157,0
1606149903,178,0
1606157102,193,0
1606160702,92,0
1606167902,207,0
1606175102,144,0
1606182302,183,1901
1606189502,250,0
1606193102,131,0
1606196702,101,0
1606203902,346,0
1606207502,253,0
1606211102,303,0
1606214702,166,0
1606218303,155,0
1606225503,309,0
1606229102,124,0
1606232702,224,0
1606236302,144,0
1606239903,146,0
1606243503,178,0
1606251602,371,0
1606255202,165,0
1606258802,161,0
1606262402,127,2781
1606266002,176,0
1606269602,253,0
1606273203,266,0
1606276803,132,0
1606284002,459,0
1606287602,190,0
1606294803,428,0
1606298402,178,0
1606306502,355,0
1606310102,167,0
1606313702,140,0
1606320902,315,0
1606328102,251,0
1606333502,172,0
1606340702,215,0
1606344301,108,0
1606347903,124,0
1606351502,125,3048
1606358702,270,0
1606365902,212,0
1606373102,285,0
1606380302,327,0
1606387502,349,0
1606394702,297,0
1606401902,245,0
1606405501,167,0
1606409102,140,0
1606415402,172,0
1606421703,215,0
1606423503,63,0
1606427102,90,0
1606430702,83,0
1606434303,147,0
1606437903,77,3343
1606441502,100,0
1606445102,528,0
1606448702,960,0
1606452302,116,0
1606455902,81,0
1606463101,214,0
1606466703,111,0
1606473903,368,0
1606477502,169,0
1606484703,231,0
1606488303,133,0
1606491902,218,0
1606495502,599,0
1606499102,624,0
1606501803,120,0
1606505402,90,0
1606507203,56,0
1606510802,92,0
1606514403,204,0
1606518003,130,0
1606521602,102,3081
1606528802,258,0
1606536002,217,0
1606543202,205,0
1606550403,262,0
1606557603,271,0
1606564802,319,0
1606572002,243,0
1606579202,248,0
1606586403,325,0
1606593603,269,0
1606600802,236,0
1606603503,112,0
1606607102,102,0
1606614302,194,5443
1606617902,97,0
1606626002,213,0
1606629603,70,0
1606636802,186,0
1606640403,158,0
1606644002,111,0
1606647602,113,0
1606654803,218,0
1606658402,88,0
1606663802,172,0
1606667402,148,0
1606669202,102,0
1606671002,118,0
1606674602,150,0
1606676403,72,0
1606678202,62,0
1606681802,85,0
1606685402,85,0
1606690802,139,0
1606692601,55,0
1606694403,36,3080
1606696202,59,0
1606698002,45,0
1606699802,64,0
1606706102,196,0
1606709702,107,0
1606710602,33,0
1606714202,99,0
1606716903,89,0
1606717802,25,0
1606720502,109,0
1606725002,180,0
1606731303,226,0
1606738502,344,0
1606743901,285,0
1606745702,84,0
1606747502,93,0
1606754702,295,0
1606760102,195,0
1606761902,64,0
1606765502,118,0
1606770903,277,0
1606772702,69,0
1606778102,168,0
1606779002,23,0
1606781702,87,2814
1606786202,186,0
1606789802,121,0
1606792502,128,0
1606796102,113,0
1606799702,144,0
1606804202,219,0
1606811402,300,0
1606817703,358,0
1606818602,51,0
1606821303,96,0
1606825802,155,0
1606832102,234,0
1606833002,30,0
1606835702,172,0
1606839302,161,0
1606842902,145,0
1606846502,232,0
1606851001,148,0
1606854602,130,0
1606861802,230,0
1606865402,90,0
1606869002,90,3663
1606871703,86,0
1606873503,79,0
1606876202,102,0
1606877102,31,0
1606879802,91,0
1606880702,25,0
1606883403,97,0
1606884302,36,0
1606887902,127,0
1606895103,254,0
1606897802,105,0
1606898701,38,0
1606901403,124,0
1606902302,35,0
1606905903,145,0
1606908602,98,0
1606909503,27,0
1606912202,171,0
1606913102,31,0
1606915802,90,0
1606916701,42,0
1606920303,183,0
1606923901,128,0
1606927502,131,0
1606930202,103,0
1606933802,149,0
1606934702,24,0
1606937402,94,0
1606938302,33,0
1606945502,259,0
1606952702,202,0
1606956302,92,3582
1606963502,226,0
1606969802,203,0
1606970702,25,0
1606973402,83,0
1606977901,139,0
1606980602,84,0
1606981502,19,0
1606984202,155,0
1606988703,154,0
1606995002,248,0
1607001302,301,0
1607004902,139,0
1607009402,216,0
1607012102,83,0
1607016602,146,0
1607023802,283,0
1607027402,103,1
1607031002,101,0
1607034602,91,0
1607038202,82,0
1607041802,112,3333
1607045402,139,0
1607049002,103,0
1607052602,103,0
1607056202,130,0
1607059802,97,0
1607063403,100,0
1607067002,134,0
1607070603,190,0
1607074202,129,0
1607078702,161,0
1607082302,118,0
1607085902,117,0
1607089503,99,0
1607096702,280,0
1607100302,156,0
1607103902,115,0
1607107502,101,0
1607111103,114,0
1607114702,86,0
1607118302,107,0
1607121901,107,0
1607125502,93,0
1607132703,233,2994
1607137202,149,0
1607140803,180,0
1607144402,180,0
1607148001,156,0
1607151602,236,0
1607155202,141,0
1607158803,138,0
1607162403,130,0
1607166002,126,0
1607169602,126,0
1607177702,265,0
1607181302,111,0
1607184902,215,0
1607188502,107,0
1607192102,92,0
1607199302,229,0
1607206502,255,0
1607210102,105,0
1607213702,85,2879
1607217302,109,0
1607224502,149,0
1607228102,149,0
1607235303,213,0
1607238902,86,0
1607246102,227,0
1607250602,117,0
1607254202,101,0
1607257802,107,0
1607265002,310,0
1607272202,231,0
1607279402,278,0
1607286602,255,0
1607290203,103,0
1607293801,78,0
1607297403,86,0
1607304603,204,3168
1607308202,118,0
1607315402,229,0
1607319902,155,0
1607323502,133,0
1607327102,138,0
1607334303,302,0
1607337902,139,0
1607341502,145,0
1607345102,139,0
1607352302,424,0
1607355902,147,0
1607363102,342,0
1607367602,197,0
1607371202,108,0
1607374802,166,0
1607378402,130,0
1607382002,106,1
1607389202,215,2701
1607396403,204,0
1607403602,223,0
1607410803,373,0
1607414403,165,0
1607421603,293,0
1607425203,156,0
1607428802,116,0
1607432402,135,0
1607436002,177,0
1607439602,139,0
1607444102,266,0
1607447702,159,0
1607451302,129,0
1607458502,260,0
1607465701,236,0
1607469302,100,0
1607472902,145,3345
1607476502,99,0
1607480102,117,0
1607481902,57,0
1607482803,23,0
1607485502,86,0
1607486401,23,0
1607493602,278,0
1607497202,140,0
1607504403,360,0
1607508002,132,0
1607511602,154,0
1607515202,142,0
1607518802,201,0
1607522402,147,0
1607530502,424,0
1607537702,307,0
1607544903,277,0
1607552102,252,0
1607555702,103,0
1607562903,179,3192
1607568302,252,0
1607571901,122,0
1607572802,37,0
1607579101,228,0
1607580902,97,0
1607584502,134,0
1607588102,164,0
1607595302,343,0
1607602503,311,0
1607606102,138,0
1607609702,150,0
1607613302,165,0
1607620502,328,0
1607624102,110,0
1607628602,272,0
1607632202,149,0
1607635802,99,0
1607639402,98,0
1607646602,235,3463
1607651102,151,0
1607654702,166,0
1607658302,203,0
1607661902,193,0
1607669102,368,0
1607672703,212,0
1607676302,167,0
1607679903,131,0
1607683502,161,0
1607687102,178,0
1607690702,166,0
1607694302,130,0
1607701503,345,0
