DateTime,AddedIPs,RemovedIPs
1603738593,1,0
1603747425,1,0
1603751888,2,0
1603760857,4,0
1603774462,1,0
1603778934,1,0
1603783404,1,0
1603792703,17,0
1603815374,1,0
1603824746,2,0
1603833833,2,0
1603842989,6,0
1603847581,1,0
1603852204,1,0
1603856805,2,0
1603861444,1,0
1603870711,2,0
1603889456,1,0
1603908172,3,0
1603917484,1,0
1603926439,2,0
1603930769,1,0
1603935102,2,0
1603943986,1,0
1603952626,2,0
1603961256,1,0
1603969456,1,0
1603984826,1,0
1603993531,2,0
1603997831,1,0
1604002199,2,0
1604006558,2,0
1604010327,1,0
1604014598,1,0
1604018862,1,0
1604023140,1,0
1604034146,2,0
1604042870,3,0
1604053871,1,0
1604062506,2,0
1604066787,1,0
1604073466,1,0
1604082063,2,0
1604090754,7,0
1604099606,2,0
1604108356,2,0
1604120716,2,0
1604135806,1,0
1604149141,2,0
1604156084,1,0
1604163132,1,0
1604170074,2,0
1604177119,1,0
1604184100,1,0
1604191001,1,0
1604197818,2,0
1604207141,2,0
1604214266,3,0
1604235154,1,0
1604251724,3,0
1604255435,1,0
1604258917,1,0
1604268978,31,0
1604272602,1,0
1604276188,2,0
1604279764,1,0
1604283365,2,0
1604291042,6,0
1604294667,2,0
1604297872,1,0
1604302488,238,0
1604306873,7,0
1604311286,11,0
1604320078,2,0
1604324664,1,0
1604331411,1,0
1604348352,1,0
1604354323,4,194
1604358129,1,863
1604363861,5,0
1604371083,1,0
1604378320,1,0
1604385496,3,0
1604396119,2,0
1604410247,2,0
1604413729,2,0
1604420756,1,0
1604426874,2,0
1604436246,3,0
1604443257,1,0
1604450253,2,0
1604457256,1,0
1604467917,1,0
1604473838,3,0
1604480770,1,0
1604484262,1,0
1604514910,3,0
1604521892,2,0
1604529296,96,0
1604533170,4,0
1604537070,2,0
1604544744,1,0
1604552411,1,0
1604556257,1,0
1604560372,2,0
1604570572,41,0
1604574541,2,0
1604578562,1,0
1604586512,2,0
1604601311,3,0
1604608670,3,0
1604616330,2,0
1604623712,2,0
1604631382,3,0
1604643325,2,0
1604647288,1,0
1604655390,3,0
1604671402,2,0
1604683230,1,0
1604687177,2,0
1604695164,1,0
1604703084,4,0
1604711029,2,0
1604718980,1,0
1604727263,3,0
1604735310,1,0
1604743225,1,0
1604747169,1,0
1604753686,1,0
1604761934,4,0
1604769945,2,0
1604780370,2,0
1604788454,1,0
1604792455,1,0
1604796142,1,0
1604800159,2,0
1604804171,1,0
1604808182,1,0
1604812210,1,0
1604816219,4,0
1604824354,6,0
1604828377,1,0
1604836663,1,0
1604845054,1,0
1604861439,2,0
1604869484,1,0
1604877562,9,0
1604881633,1,0
1604885596,2,0
1604889649,1,0
1604901852,2,0
1604908419,4,0
1604916554,1,0
1604928701,2,0
1604937635,3,0
1604945679,1,0
1604953372,5,0
1604961407,2,0
1604969494,3,0
1604979788,2,0
1604987754,3,0
1604991736,1,0
1605003629,1,0
1605011576,2,0
1605019640,2,0
1605027754,5,0
1605035767,1,0
1605039666,1,0
1605043784,4,0
1605051660,2,0
1605055579,1,0
1605059513,3,0
1605067360,2,0
1605075221,2,0
1605083134,4,0
1605091050,4,0
1605101550,1,0
1605109461,1,0
1605117364,5,0
1605125286,2,0
1605133097,3,0
1605136982,1,0
1605144403,20,0
1605148463,19,0
1605155825,1,0
1605164106,3,0
1605172263,2,0
1605192513,3,0
1605205116,3,0
1605209166,2,0
1605213303,1,0
1605221527,3,0
1605229796,6,0
1605238076,3,0
1605246441,3,0
1605262973,1,0
1605279428,2,0
1605283540,2,0
1605287837,1,0
1605291951,3,0
1605304489,4,0
1605313375,3,0
1605317477,1,0
1605325699,1,0
1605329782,2,0
1605333909,2,0
1605350411,1,0
1605362769,1,0
1605366975,1,0
1605375218,2,0
1605383463,1,0
1605387578,1,0
1605394055,3,0
1605402126,2,0
1605405568,1,0
1605409417,1,0
1605421791,3,0
1605431034,13,0
1605435207,1,0
1605439535,3,0
1605450356,1,0
1605467172,3,0
1605479638,1,0
1605487958,1,0
1605492132,3,0
1605500491,1,0
1605505026,3,0
1605521713,1,0
1605530150,4,0
1605538441,1,0
1605546674,1,0
1605550792,2,0
1605554924,1,0
1605563193,2,0
1605571463,2,0
1605579778,2,0
1605596480,3,0
1605621201,3,0
1605625295,1,0
1605629508,1,0
1605637824,2,0
1605642012,1,0
1605658704,1,0
1605662831,2,0
1605666978,1,0
1605671130,1,0
1605679244,3,0
1605687362,2,0
1605695480,2,0
1605703566,4,0
1605711433,1,0
1605728044,1,0
1605732418,1,0
1605738881,4,0
1605743138,2,0
1605751424,5,0
1605755578,1,0
1605763911,2,0
1605772046,1,0
1605796938,1,0
1605805213,2,0
1605808702,1,0
1605812863,4,0
1605821190,2,0
1605832091,2,0
1605840420,3,0
1605848636,2,0
1605852614,1,0
1605856796,1,0
1605869327,2,0
1605877716,10,0
1605881891,1,0
1605897070,1,0
1605901248,1,0
1605905212,1,0
1605912943,2,0
1605921315,2,0
1605929503,1,0
1605936093,1,0
1605940254,1,0
1605944442,1,0
1605961196,3,0
1605969579,1,0
1605994740,1,0
1606003121,1,0
1606007300,1,0
1606015684,1,0
1606019883,1,0
1606028440,4,0
1606041352,1,0
1606056087,3,0
1606068769,1,0
1606077180,1,0
1606081374,1,0
1606089747,1,0
1606098167,1,0
1606106584,1,0
1606110791,1,0
1606115014,2,0
1606123617,1,0
1606127932,1,0
1606134583,1,0
